Cliente,Nombre 1,Nombre 2,Calle,CP,Población
9100158925,VINS I BEGUDES REMEI,VINS I BEGUDES REMEI,CALLE VIRREI AVILES 28,08500,VIC
9100135277,MIRAMARGES  JOSEP ILLAMOLA VILALTA,MIRAMARGES  JOSEP ILLAMOLA VILALTA,CALLE MIRAMARGES 1,08500,VIC
9100059229,AREA DELS PARDALS-GASOLI,AREA DELS PARDALS-GASOLI,CALLE SABADELL 04-jun,08500,VIC
9100058850,BAR LA PISTA,BAR LA PISTA,CALLE SOLEDAT 4,08500,VIC
9100689904,CELLER DE VIC,CELLER DE VIC,ESCOLA 12,08500,VIC
9100617812,CAFETERIA VIVARI,CAFETERIA VIVARI,RAMBLA PASSEIG 10,08500,VIC
9100563642,FORN SANT ALBERT,FORN SANT ALBERT,Carrer de Gurb 36,08500,VIC
9100492927,PIZZERIA TOSCANA,PIZZERIA TOSCANA,CALLE TORELLO 25,08500,VIC
9100374429,LA TAVERNA D'EN NORTON,LA TAVERNA D'EN NORTON,PLAZA PES 6,08500,VIC
9100343446,RESTAURANTE SOFIA,RESTAURANTE SOFIA,RODA 95,08500,VIC
9100253034,CAFETERIA ATREZZO,CAFETERIA ATREZZO,CALLE ERMITA DE SANT SIXT 11,08500,VIC
9100197987,CAN BERNAT,CAN BERNAT,AVENIDA SANT BERNAT CALBO 23,08500,VIC
9100192841,"CAF# DE LES LLETRES, S.C.P","CAF# DE LES LLETRES, S.C.P",CALLE SANTA JOAQUIMA DE VEDRUNA 29,08500,VIC
9100159002,ASSOCIACIO CULTURAL SAGALS D'OSONA,ASSOCIACIO CULTURAL SAGALS D'OSONA,Carretera de Manlleu 7,08500,VIC
9100158946,FORN DEL CARME,FORN DEL CARME,RAMBLA DAVALLADES 21,08500,VIC
9100158856,FORN CATALUNYA,FORN CATALUNYA,CALLE DOCTOR JUNYENT S/N,08500,VIC
9100158828,FORN PUJOLS,FORN PUJOLS,CALLE MANLLEU 5,08500,VIC
9100158696,LLAVORS I CEREALS FONT,LLAVORS I CEREALS FONT,CARRETERA PRATS DE LLUÇANES 2,08500,VIC
9100152300,B&B,B&B,CALLE LA LLOTJA 3,08500,VIC
9100081422,PIZZERIA BRASERIA LA FLAMA,PIZZERIA BRASERIA LA FLAMA,CALLE RIERA 5,08500,VIC
9100059399,GRANJA XOCOLATERIA''LA CLAU,GRANJA XOCOLATERIA''LA CLAU,PLAZA SANTS MARTIRS 12,08500,VIC
9100636961,Bar La Parada c/ bisbe morgades,Bar La Parada c/ bisbe morgades,CALLE BISBE MORGADES 36,08500,VIC
9100389358,BAR BOHEMI,BAR BOHEMI,PLAZA PIETAT 8,08500,VIC
129963,TACO BELL VIC,TACO BELL VIC,Carretera de Manlleu 90,08500,VIC
129963,TACO BELL VIC,TACO BELL VIC,Carretera de Manlleu 90,08500,VIC
9100160118,HOTEL BALMES,HOTEL BALMES,CALLE FRANCESC PLA EL VIGATA 6,08500,VIC
9100579824,"PULIT, S.A","PULIT, S.A",Carretera de Roda 61,08500,VIC
9100738149,JAUME COSTA,JAUME COSTA,Plaça de la Pietat 1,08500,VIC
9100058481,GARBI 1 CAFET. ALIMENTACIO,GARBI 1 CAFET. ALIMENTACIO,RONDA FRANCESC CAMPRODON 5,08500,VIC
9100058670,FUSSIMANYA ESTADI,FUSSIMANYA ESTADI,CALLE TAGAMANENT 1,08500,VIC
9100554547,BAR SANTA ANNA,BAR SANTA ANNA,AVENIDA PAISOS CATALANS 82,08500,VIC
9100206312,E.S VIC,E.S VIC,Carretera de Roda 97,08500,VIC
9100649610,BAR REST EL TAST,BAR REST EL TAST,RAMON SALA I SAÇALA 15,08500,VIC
9100666666,LUCKY,LUCKY,Rambla de Sant Domènec 1,08500,VIC
9100678356,ALASKA BAR,ALASKA BAR,Carrer de Manuel Serra i Moret 4,08500,VIC
9100735783,SARABÀ,SARABÀ,Carrer de Mataró 5,08500,VIC
9100737400,Bar Gat Negre,Bar Gat Negre,Avinguda de l'Abat Marcet 251,08225,TERRASSA
9100153533,ICE CUSTOM,"GRUPO ESPAI CUSTOM, SL",Carrer de Berenguer III S/N,08100,MOLLET DEL VALLES
9100423445,BAR LA MARTINA,BAR LA MARTINA,CALLE BERENGUER III 58,08100,MOLLET DEL VALLÈS
9100505447,PRATS PA (ILLA),PRATS PA (ILLA),Plaça Major 9,08100,MOLLET DEL VALLES
9100138634,EUROMED SA,EUROMED SA,CALLE REC DE DALT 21-23,08100,MOLLET DEL VALLES
9100228193,TALLERS CAN MULA,TALLERS CAN MULA,AVENIDA RAFAEL CASANOVA 8,08100,MOLLET DEL VALLES
9100519725,MARIA LUISA MUÑOZ CARO,MARIA LUISA MUÑOZ CARO,CALLE FRANCESC FERRER I GUARDIA 9,08100,MOLLET DEL VALLÈS
9100519746,SUSANA CARRASCO PALACINO,SUSANA CARRASCO PALACINO,CALLE JOAQUIM MIR 49,08100,MOLLET DEL VALLÈS
9100610435,Bar 4 Puertas,Bar 4 Puertas,Carrer de Can Flequer 17,08100,MOLLET DEL VALLES
9100621276,BAR NIKOL,BAR NIKOL,Via de Ronda 73,08100,MOLLET DEL VALLÈS
9100622784,INDUSTRIAS QUIMICAS DEL VALLES,INDUSTRIAS QUIMICAS DEL VALLES,CALLE RAFAEL CASANOVAS 81,08100,MOLLET DEL VALLES
9100623018,CAL DIBUIXANT,CAL DIBUIXANT,PLAZA PRAT DE LA RIBA 21,08100,MOLLET DEL VALLES
9100632834,ANDALUS,ANDALUS,RAMBLA DE BALMES 16,08100,MOLLET DEL VALLES
9100639237,BAR OLIMPIC MOLLET,BAR OLIMPIC MOLLET,AVENIDA BURGOS 63,08100,MOLLET DEL VALLES
9100646097,HOPS,HOPS,PLAZA PRAT DE LA RIBA 20,08100,MOLLET DEL VALLES
9100646795,FUSSION,FUSSION,PLAZA CATALUNYA 9,08100,MOLLET DEL VALLES
9100653307,HOLA K TAL,HOLA K TAL,Carrer de Joaquim Mir 53,08100,MOLLET DEL VALLES
9100686742,BAR CRISTASOL  (Kebab Esquina),BAR CRISTASOL  (Kebab Esquina),Carrer de Joan Maragall 19,08100,MOLLET DEL VALLES
9100688668,Kisema,Kisema,Carrer de Gallecs 71,08100,MOLLET DEL VALLES
9100055962,LOS EXTREMEÑOS,JOAN Y JOSEP SCP,RONDA 7,08100,MOLLET DEL VALLES
9100654473,JUAN MANUEL PEREZ SIERRA,JUAN MANUEL PEREZ SIERRA,CALLE CAN PARERA 22,08100,MOLLET DEL VALLES
9100687896,IBERICUS CENTRAL,IBERICUS CENTRAL,CALLE PROVENÇA 200,08226,TERRASSA
9100646871,IBERICUS CENTRAL,IBERICUS CENTRAL,CALLE PROVENÇA 200,08226,TERRASSA
9100646871,IBERICUS CENTRAL,IBERICUS CENTRAL,CALLE PROVENÇA 200,08226,TERRASSA
9100565225,PISCINAS LES CREMADES,PISCINAS LES CREMADES,CALLE LAS CREMADES S/N,08140,CALDES DE MONTBUI
9100582098,HOSPITAL DE MANLLEU CUINA,HOSPITAL DE MANLLEU CUINA,CARRETERA D'OLOT 7,08560,MANLLEU
9100582039,ANGEL BRUGUERA FONT,ANGEL BRUGUERA FONT,LUGAR BRUGUERA S/N,08560,MANLLEU
9100453364,TANCAMENTS USART-COMA,TANCAMENTS USART-COMA,Carrer de Doña Blanca 168,08560,MANLLEU
9100582034,HOSPITAL DE MANLLEU CAFETERIA,HOSPITAL DE MANLLEU CAFETERIA,Carretera d'Olot 7,08560,MANLLEU
9100160021,CANSALADERIA MOLIST,CANSALADERIA MOLIST,CALLE DOCTOR FLEMING 20,08560,MANLLEU
9100158833,CREPERIA,CREPERIA,Plaça de Fra Bernadí 32,08560,MANLLEU
9100681243,XAVIER LOPEZ CUINA SENSORIAL,XAVIER LOPEZ CUINA SENSORIAL,CARRER PINTOR GUARDIA 6,08560,MANLLEU
9100494906,JAUME GIL MARES,JAUME GIL MARES,Carretera d'Olot 50,08560,MANLLEU
9100698675,GUERMAN KAZANNIKOV KAZANNIKOV,GUERMAN KAZANNIKOV KAZANNIKOV,Carrer de Vélez Rubio 12,08918,BADALONA
118470,SALA GRANOLLERS (TORRES) – CIRSA,SALA GRANOLLERS (TORRES) – CIRSA,TORRES I BAGES 1-3,08402,GRANOLLERS
118470,SALA GRANOLLERS (TORRES) – CIRSA,SALA GRANOLLERS (TORRES) – CIRSA,TORRES I BAGES 1-3,08402,GRANOLLERS
9100614413,CAFE ORIENT EXPRESS,CAFE ORIENT EXPRESS,Carrer d'Apel·les Mestres 2,08402,GRANOLLERS
9100626587,JAVIS 3,JAVIS 3,CALLE MONTSENY 10,08402,GRANOLLERS
9100629896,EMPANADA CLUB,EMPANADA CLUB,CALLE SANT ROC 19,08402,GRANOLLERS
9100630014,GRANA BAR BY DUMAS,GRANA BAR BY DUMAS,PLAZA JOSEP SERRAT I BONASTRE S/N,08402,GRANOLLERS
9100638648,BAR RESTAURANTE CAL DAVID,BAR RESTAURANTE CAL DAVID,Carrer d'Emili Botey Alsina 22,08402,GRANOLLERS
9100639032,RESTAURANTE GRAN MURALLA,RESTAURANTE GRAN MURALLA,Carrer de Girona 90,08402,Granollers
9100647947,PAREDES 4,PAREDES 4,AVENIDA SANT ESTEVE 35,08402,GRANOLLERS
9100702482,TAPES GRANOLLERS PICA VINS,TAPES GRANOLLERS PICA VINS,Carrer de Girona 4,08402,GRANOLLERS
127151,SALON GRANOLLERS MACIA - CIRSA,SALON GRANOLLERS MACIA - CIRSA,CALLE FRANCESC DE MACIÃ€ I LLUSS 44,08402,GRANOLLERS
127151,SALON GRANOLLERS MACIA - CIRSA,SALON GRANOLLERS MACIA - CIRSA,CALLE FRANCESC DE MACIÃ€ I LLUSS 44,08402,GRANOLLERS
9100226319,BUSSINETS DE CUINA,BUSSINETS DE CUINA,CALLE CONESTABLE DE PORTUGAL 13,08402,GRANOLLERS
9100621389,BAR LA CANTINA,BAR LA CANTINA,CALLE EMILI BOTEY ALSINA 24,08402,GRANOLLERS
9100651895,KUMAR DONNER KEBAB PIZZERIA,KUMAR DONNER KEBAB PIZZERIA,Rambla Josep Tarradellas 5,08402,GRANOLLERS
9100696143,LOS TERESITOS,LOS TERESITOS,Carrer Llevant 2,08110,MONTCADA I REIXAC
9100772092,Roberto Ferrando Martínez,Roberto Ferrando Martínez,Passeig del Pitort 103,08860,CASTELLDEFELS
9100378510,BAR LA CAVERNA,BAR LA CAVERNA,ARAGON 12,08520,FRANQUESES DEL VALLES (LES)
9100432797,FLECA BRETCHA (CORRO D'AVALL),FLECA BRETCHA (CORRO D'AVALL),"CARRETERA DE RIBES, N-152 131",08520,LES FRANQUESES DEL VALLÈS
9100373615,EL FORNET (GRANOLLERS),EL FORNET (GRANOLLERS),CALLE SANTA ESPERAN#A 11,08401,GRANOLLERS
9100042719,EL MIRALLET,EL MIRALLET,PLAZA PORXADA 39,08401,GRANOLLERS
9100291002,CELLER DEL FERRER,CELLER DEL FERRER,CALLE JOAN PRIM 177,08401,GRANOLLERS
9100469494,BAR EL VERMUTILLO II,BAR EL VERMUTILLO II,CALLE SANT JOSEP 5,08401,GRANOLLERS
9100620561,FORNO DI CAFFE VIVALDI,FORNO DI CAFFE VIVALDI,CALLE DE CORRO 192,08401,GRANOLLERS
9100629126,DONNER POMPEU FABRA,DONNER POMPEU FABRA,Carrer de Pompeu Fabra 15,08401,GRANOLLERS
9100645312,IBERICUS GRANOLLERS,IBERICUS GRANOLLERS,CALLE SANT ROC 29,08401,GRANOLLERS
9100645312,IBERICUS GRANOLLERS,IBERICUS GRANOLLERS,CALLE SANT ROC 29,08401,GRANOLLERS
9100731938,LA PEDREGADA,LA PEDREGADA,Avinguda del camí de la fontsan S/N,08572,SANT PERE DE TORELLÓ
9100694999,EL BISTROT DEL FIRAL,EL BISTROT DEL FIRAL,Plaça Sant Fortià 2,08570,TORELLÓ
9100613076,LOS CUESTAS,LOS CUESTAS,Carrer Joaquim Blume 13,08105,SANT FOST DE CAMPSENTELLES
9100615213,CLUB ESPORTIU LLIÇA D'AMUNT,CLUB ESPORTIU LLIÇA D'AMUNT,AVENIDA PAISOS CATALANS S/N,08186,LLIÇÀ D'AMUNT
9100617121,BAR PICASSO,BAR PICASSO,PLAZA PAU PICASSO 9,08170,MONTORNÈS DEL VALLÈS
9100622604,VALLES DONER KEBAB,VALLES DONER KEBAB,Avinguda de l'Onze de Setembre 36,08170,MONTORNÈS DEL VALLÈS
9100626406,BAR STARS,BAR STARS,PLAZA MOSSEN PERE BATLLE 9,08150,PARETS DEL VALLES
9100641568,LA GIRALDA,LA GIRALDA,Carrer de Joan XXIII 4,08107,MARTORELLES
9100642392,UBOX 2015,UBOX 2015,Passeig de la Conca de Besòs 33,08403,GRANOLLERS
9100643360,Madow Shisha Lounge,Madow Shisha Lounge,Carrer d'Anselm Clavé 70,08186,LLIÇÀ D'AMUNT
9100645053,RESTAURANTE EL CAU,RESTAURANTE EL CAU,B-500 Km 6,08105,SANT FOST DE CAMPSENTELLE
9100650953,AMBIGU,AMBIGU,Carrer Major 64,08170,MONTORNÈS DEL VALLÈS
9100650976,JJ BAR,JJ BAR,Avinguda de la Mare de Déu de Mo 26,08170,MONTORNÈS DEL VALLÈS
9100651605,PIZZERIA KEBAB MIL.LENARI,PIZZERIA KEBAB MIL.LENARI,PLAZA MIL.LENARI 8,08160,MONTMELÓ
9100652617,PADEL INDOOR GRANOLLERS,PADEL INDOOR GRANOLLERS,Avinguda de Sant Julià 201,08403,GRANOLLERS
9100669500,Bar Restaurant Tres Roses,Bar Restaurant Tres Roses,Carrer de Mary Santpere 1,08150,PARETS DEL VALLES
9100683728,KIWI,KIWI,Carrer Lluís Companys 4,08160,MONTMELÓ
9100700812,SUPER NABILA PARETS,SUPER NABILA PARETS,Carrer de Conestable de Portugal 8,08150,PARETS DEL VALLES
9100735784,LA DISCO VIG,LA DISCO VIG,Avinguda de la Ribera 6,08503,GURB
9100658240,BAR CAMP FUTBOL ST PERE TORELLO,BAR CAMP FUTBOL ST PERE TORELLO,Carretera BV-5224 1,08572,SANT PERE DE TORELLÓ
9100670575,EL REBOST DE L'ISABEL,EL REBOST DE L'ISABEL,Carrer Matagalls 75,08508,LES MASIES DE VOLTREGÀ
9100742665,EL 9 LLAC,EL 9 LLAC,CARRETERA N260 KM.118 KM 118,17534,RIBES DE FRESER
9100159110,FORN PUIGVENDRELLO,FORN PUIGVENDRELLO,CALLE BARCELONA 10,08551,TONA
9100121555,FUTBOL STA. EULALIA,FUTBOL STA. EULALIA,CALLE NOU S/N,08505,SANTA EULÀLIA DE RIUPRIMER
9100529186,BAR CAMP FUTBOL ST VICENÇ TORELLO,BAR CAMP FUTBOL ST VICENÇ TORELLO,CALLE VILAMITJANA S/N,08571,SANT VICENÇ DE TORELLÓ
9100528087,CAL JUTGE,CAL JUTGE,CALLE GRACIA 12,08573,ORÍS
9100517311,CASAL GENT GRAN ST.VICENÇ TORELLO,CASAL GENT GRAN ST.VICENÇ TORELLO,PLAZA CAL FERRER 14,08571,SANT VICENÇ DE TORELLÓ
9100513817,FERRO,FERRO,Carrer del Ter 172,08570,TORELLÓ
9100378362,BAR CASAL ST. VICEN#,BAR CASAL ST. VICEN#,CALLE MAJOR 4,08571,SANT VICEN# DE TORELLO
9100369663,RESTAURANT LA BISAURA,RESTAURANT LA BISAURA,CARRETERA VIDRA 2,08580,SANT QUIRZE DE BESORA
9100281570,ENGRUNA POUSA,ENGRUNA POUSA,CALLE CAN CASARRAMONA 26,08570,TORELLÓ
9100159884,FORN CAN COMA,FORN CAN COMA,CARRETERA BERGA 31,08580,SANT QUIRZE DE BESORA
9100159296,FORN PUJADES,FORN PUJADES,PLAZA LA SARDANA S/N,08570,TORELLÓ
9100126286,BAR TORNEM-HI,BAR TORNEM-HI,CALLE GIRONA 33,08570,TORELLÓ
9100122181,CAL NAN,CAL NAN,CALLE ENRIC PRAT DE LA RIBA 7,08570,TORELLÓ
9100110641,FONDA VILASECA,FONDA VILASECA,Carrer de Vila-Seca 12,08571,Vila-seca
9100577666,COCA DEL MOSSEN,COCA DEL MOSSEN,Avinguda de l'Atlàntida 8,08519,FOLGUEROLES
9100577666,COCA DEL MOSSEN,COCA DEL MOSSEN,Avinguda de l'Atlàntida 8,08519,FOLGUEROLES
9100282736,FORN ANTIGA CASA PRAT,FORN ANTIGA CASA PRAT,Carrer del Bisbe Castanyer 15,08572,SANT PERE DE TORELLÓ
9100572141,BAR DE LA BENZINERA,BAR DE LA BENZINERA,CARRETERA N-141 D S/N,08506,CALLDETENES
9100433466,RESTAURANT EL SANTUARI,RESTAURANT EL SANTUARI,CALLE MARQUES DE PALMEROLA 7,08508,LES MASIES DE VOLTREGÀ
9100220279,CELLER CALLDETENES,CELLER CALLDETENES,CALLE GRAN 1,08506,CALLDETENES
9100160124,BAR ESTACIO SERVEI FEIXES AULET ROD,BAR ESTACIO SERVEI FEIXES AULET ROD,Carrer d'en Bac de Roda 45,08510,RODA DE TER
9100397795,PADEL OSONA GURB,PADEL OSONA GURB,CALLE SANT ROC 29,08503,GURB
9100059032,RESTAURANT CAN JUBANY,RESTAURANT CAN JUBANY,CARRETERA SANT HILARI S/N,08506,CALLDETENES
9100122540,FRANKFURT ES-3,FRANKFURT ES-3,CALLE VERDAGUER 2,08572,SANT PERE DE TORELLÓ
9100255064,HOSTAL NOU,HOSTAL NOU,LUGAR HOSTAL NOU 1,08503,GURB
9100058278,PENSIO EL TREVOL,PENSIO EL TREVOL,CALLE SANT BARTOMEU 34,08570,TORELLÓ
9100577693,RESTAURANT LA FERRERIA,RESTAURANT LA FERRERIA,"AVENIDA BALNEARI, S/N S/N",08551,TONA
9100041762,RSTE. EL JARDI,RESTAURANT EL JARDI SL,MAJOR 1,08150,PARETS DEL VALLES
9100044050,SUPERMERCAT MAJOR,DHOTEHER SL,MAJOR 70,08170,MONTORNES DEL VALLES
9100054518,AGROBOTIGA DE GALLECS,AGROECOLÃGICA DE GALLECS SAT,"PORXO CAN XAMBRERS, S/N -",08104,GALLECS
9100184803,TANCAMENTS,TANCAMENTS,CALLE GARRAF 5,08185,LLI#A DE VALL
9100601539,CORBION,CORBION,CALLE GRAN VIAL 19-25,08160,MONTMELÓ
9100381913,LA ROCA VILLAGE RTE PASARELA (GVC),LA ROCA VILLAGE RTE PASARELA (GVC),Centro Comercial La Roca Villag S/N,08430,SANTA AGNES DE MALANYANES
9100579833,PASTISSERIA CROSSANDRA,PASTISSERIA CROSSANDRA,CALLE NURIA 12,08504,SANT JULIÀ DE VILATORTA
9100206314,ANTIC FORN RIERA CENTELLES,ANTIC FORN RIERA CENTELLES,CALLE SOCOS 20,08540,CENTELLES
9100648393,BAR TREBOL,BAR TREBOL,Carrer de Sant Agustí 13,08512,SANT HIPÒLIT DE VOLTREGÀ
9100597817,BIG BAG,BIG BAG,PLAZA VELLA 11,08570,TORELLÓ
9100652762,RESTAURANT CAL PAGES,RESTAURANT CAL PAGES,CALLE GES D'AVALL 4,08570,TORELLÓ
9100159533,RESTAURANT ELS AVETS,RESTAURANT ELS AVETS,Carrer Barcelona 1,08508,LES MASIES DE VOLTREGÀ
9100041008,BAR YUMEI II,BAR YUMEI II,Ponent 59,08400,GRANOLLERS
9100450636,CLUB PADEL MONTMELO,CLUB PADEL MONTMELO,CALLE FOLCH I TORRES S/N,08160,MONTMELÓ
9100468310,FLECA BRETCHA (LLIÇA DE MUNT),FLECA BRETCHA (LLIÇA DE MUNT),CARRETERA DE PARETS A BIGUES I KM 8,08186,LLIÇA DE MUNT
9100493210,CELLER DE CAN RODA,CELLER DE CAN RODA,BV-5006 5006,08106,SANTA MARIA DE MARTORELLES
9100299260,CHATARRAS MOLICAL  SL,CHATARRAS MOLICAL  SL,CALLE CARRERADA 1,08107,MARTORELLES
9100514207,SONIA FRANCAS SANTIAGO,SONIA FRANCAS SANTIAGO,CALLE DOCTOR FERRAN 3,08160,MONTMELÓ
9100055266,CASAL AVIS MASIA CAN CARRANCA JUNTA,CASAL AVIS MASIA CAN CARRANCA JUNTA,MASIA CAN CARRANCA S/N -,08107,MARTORELLES
9100042975,BAR CLEMEN'S,CLEMENTE JEREZ JUAN RAMON,JOANOT MARTORELL 32,08400,GRANOLLERS
9100281245,BONATAPA,CLOTETYELO SL,Avinguda de Catalunya 111,08150,PARETS DEL VALLES
9100054533,VENDES MAGATZEM,SIN ASIGNAR,CAN FENOSA 1-2 -,08107,MARTORELLES
9100268368,CAN MOREU,CAN MOREU SL,CALLE TORRENT DE CAN NINOU 1,08150,PARETS DEL VALLES
9100054998,EUROPA BAR,EUROPA BAR,Avinguda de la Llibertat 30,08100,MOLLET DEL VALLES
9100424060,BAR GRANJA VINZIA,BAR GRANJA VINZIA,CALLE GAIETA VINZIA 76,08100,MOLLET DEL VALLÈS
9100424060,BAR GRANJA VINZIA,BAR GRANJA VINZIA,CALLE GAIETA VINZIA 76,08100,MOLLET DEL VALLÈS
9100444038,PA I CAFETERIA L'AVIA ESTACION,PA I CAFETERIA L'AVIA ESTACION,JOAN MARAGALL 17,08100,MOLLET DEL VALLÈS
9100350872,RESTAURANT KENFIR,RESTAURANT KENFIR,CALLE JOAQUIM MIR 57,08100,MOLLET DEL VALLES
9100350872,RESTAURANT KENFIR,RESTAURANT KENFIR,CALLE JOAQUIM MIR 57,08100,MOLLET DEL VALLES
9100631930,EL RINCON DEL SOCIO,EL RINCON DEL SOCIO,CALLE GALLECS 50,08100,MOLLET DEL VALLES
9100660484,EL RACO DEL MERCAT,EL RACO DEL MERCAT,Avinguda de la Llibertat 12,08100,MOLLET DEL VALLES
9100663784,TENTACION II,TENTACION II,RAMBLA POMPEU FABRA 40,08100,MOLLET DEL VALLES
9100686343,Pool,Pool,Passatge Sant Miquel 10,08100,MOLLET DEL VALLES
9100733360,EL REFUGIO,EL REFUGIO,Rambla de Pompeu Fabra 14,08100,MOLLET DEL VALLES
9100745447,BAR ACROPOLIS,BAR ACROPOLIS,CALLE CAN PANTIQUET 22,08100,MOLLET DEL VALLES
9100756398,NOU CUSTOM BAR CAFETERÍA,NOU CUSTOM BAR CAFETERÍA,Passatge Sant Miquel 10,08100,MOLLET DEL VALLES
9100762714,RENFE NORD CANTINA,RENFE NORD CANTINA,CALLE JOAN MARAGALL S/N,08100,MOLLET DEL VALLES
9100765744,BAR BY DUNAS MOLLET,BAR BY DUNAS MOLLET,Ronda d'Orient 1,08100,MOLLET DEL VALLES
9100767546,BAR BY DUMAS MOLLET,BAR BY DUMAS MOLLET,Ronda d'Orient 1,08100,MOLLET DEL VALLES
9100055977,CANTINA RENFE SANT FOST,CANTINA RENFE SANT FOST,Ronda d'Orient 1,08100,MOLLET DEL VALLES
9100055145,CANSALADERIA CAN MAGRET,CANSALADERIA CAN MAGRET,AVENIDA JAUME I 166,08100,MOLLET DEL VALLES
9100373406,CTRO.ELS TIL.LERS,CTRO.ELS TIL.LERS,CARRETERA C-17 S/N,08100,MOLLET DEL VALLES
119751,BK MOLLET,BK MOLLET,AVENIDA RABASSAIRES 40,08100,MOLLET DEL VALLÈS
119751,BK MOLLET,BK MOLLET,AVENIDA RABASSAIRES 40,08100,MOLLET DEL VALLÈS
119751,BK MOLLET,BK MOLLET,AVENIDA RABASSAIRES 40,08100,MOLLET DEL VALLÈS
119751,BK MOLLET,BK MOLLET,AVENIDA RABASSAIRES 40,08100,MOLLET DEL VALLÈS
119751,BK MOLLET,BK MOLLET,AVENIDA RABASSAIRES 40,08100,MOLLET DEL VALLÈS
119751,BK MOLLET,BK MOLLET,AVENIDA RABASSAIRES 40,08100,MOLLET DEL VALLÈS
9100111065,CAN PRAT RESTAURANT,CAN PRAT RESTAURANT,Avinguda de Can Prat s/n,08100,MOLLET DEL VALLES
9100690441,NETSTAL IBERICA SA,NETSTAL IBERICA SA,CL QUARTER NORD 1,08100,MOLLET DEL VALLES
9100433502,DISTRIBUIDORA DE PRODUCTOS NATURALE,DISTRIBUIDORA DE PRODUCTOS NATURALE,CALLE FERRO 33,08100,MOLLET DEL VALLES
103154,EUREST COLECTIVIDADES (MERCK),EUREST COLECTIVIDADES (MERCK),"P.I. CAN MAGAROLA, CTRA. NAC 152, K",08100,MOLLET DEL VALLES
103154,EUREST COLECTIVIDADES (MERCK),EUREST COLECTIVIDADES (MERCK),"P.I. CAN MAGAROLA, CTRA. NAC 152, K",08100,MOLLET DEL VALLES
9100054573,SABOR MANABITA (COSTAVERDE),SABOR MANABITA (COSTAVERDE),CALLE ANSELM CLAVE 43,08100,MOLLET DEL VALLES
9100054762,PRATS PA,PRATS PA,AVENIDA CALDERO 48,08100,MOLLET DEL VALLES
