Material,Número de material,Ce.,Alm.,UMB,Fabricante,Número de un fabricante,Ubic.
0AM0004,CHOVI ACEITE OLIVA VIRG EXT SOB 1CL 250,D131,0005,CAJ,43400,"CHOVI, SL",ZCG
0AM0005,SAL GARCIA SAL GRUESA ESP PESCADO 2K,D131,0005,CAJ,5114,"FRANCISCO GARCIA EL RISOS, S.L",ZCG
0AM0006,FEMUA VINAGRE DE VINO BLANCO 2L,D131,0005,CAJ,43403,"VINAGRERIAS RIOJANAS, SA",ZCG
0AM0007,FEMUA VINAGRE DE VINO NEGRO 2L,D131,0005,CAJ,43403,"VINAGRERIAS RIOJANAS, SA",ZCG
0AM0009,FEMUA VINAGRE DE VINO BLANCO 1L,D131,0005,UN,43403,"VINAGRERIAS RIOJANAS, SA",ZCG
0AM0012,CHOVI VINAGRE DE VINO SOBRES 1CL 250U,D131,0005,CAJ,43400,"CHOVI, SL",ZCG
0AM0018,CHOVI MAYONESA 10G 252U,D131,0005,CAJ,43400,"CHOVI, SL",ZCG
0AM0019,CHOVI KETCHUP 10G 252U,D131,0005,CAJ,43400,"CHOVI, SL",ZCG
0AM0020,CHOVI MOSTAZA  AMARILLA 6G 378U,D131,0005,CAJ,43400,"CHOVI, SL",ZCG
0AM0021,CHOVI KETCHUP 2KG,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0022,CHOVI MOSTAZA AMARILLA 2KG,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0023,CHOVI SALSA BRAVA 2KG,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0024,CHOVI SALSA ROSACOCTEL 2KG,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0027,CHOVI AJONESA 2KG,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0028,BOVRIL CONCENTRADO DE CARNE 500 G.,D131,0005,UN,34539,UNILEVER ESPAÑA SA,ZCG
0AM0029,GALLINA BLANCA SALSA BECHAMEL DESHIDR1KG,D131,0005,UN,33728,GALLINA BLANCA S.A,ZCG
0AM0033,HELLMANN.S MAYONESA 3 L.,D131,0005,UN,34539,UNILEVER ESPAÑA SA,ZCG
0AM0036,PERRINS SALSA 15 CL.,D131,0005,UN,,,ZCG
0AM0037,CHOVI SALSA PICANTE TABASCO 60G,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0040,CERVANTES PIMIENTA DULCE ROJA 915 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0041,CERVANTES PIMIENTA PICANTE ROJA 915 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0042,CERVANTES PIMIENTA NEGRA MOLIDA 850 GR.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0043,CERVANTES PIMIENTA NEGRA EN GRANO 700G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0045,CERVANTES CAYENA EN RAMA 300 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0047,CERVANTES CURRI EN POLVO 915 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0049,CERVANTES CANELA EN RAMA 300 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0050,CERVANTES NUEZ MOSCADA MOLIDA 915 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0053,CERVANTES AZAFRAN EN HILO 1G 5U,D131,0005,CAJ,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0054,CERVANTES PIMIENTA VERDA FRESCA 500 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0055,CERVANTES OREGANO 200 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0057,CERVANTES TOMILLO 400 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0060,CERVANTES HIERBAS PROVENZALES 350 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0064,CERVANTES AJO EN POLVO 915 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0065,CERVANTES AJO GRANULADO 915 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0067,CERVANTES ESPECIAS PINCHOS MORUNOS 915G,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0068,"REDONDO COCTEL DE ACEITUNAS LATA 2,5KG",D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0069,"REDONDO ACEITUNA PARTIDA 2,5 KG.",D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0070,"REDONDO ACEITUNA GAZPACHA 2,5 KG.",D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0072,"REDONDO ACEITUNA ARAGON 2,5 KG.",D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0074,"REDONDO ACEITUNA MANZANILLA 2,5 KG.",D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0076,"REDONDO ACEITUNA NEGRA DULCE LATA 2,5 KG",D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0077,"LA SEVILLANA ACEITUNA NEGRA S/H 1,445KG",D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0081,REDONDO ALCAPARRAS 800 G.,D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0082,REDONDO BANDERILLAS 40/45 GALON 1KG,D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0086,JAE JUDIA PINTA 3KG,D131,0005,UN,43412,"RIBEREBRO INTEGRAL, SAU",ZCG
0AM0087,JAE LENTEJA EXTRA 3KG,D131,0005,UN,43412,"RIBEREBRO INTEGRAL, SAU",ZCG
0AM0088,JAE GARBANZO EXTRA 3KG,D131,0005,UN,43412,"RIBEREBRO INTEGRAL, SAU",ZCG
0AM0089,JAE JUDIA LARGA BLANCA EXTRA 3KG,D131,0005,UN,43412,"RIBEREBRO INTEGRAL, SAU",ZCG
0AM0090,JAE JUDIA LARGA EXTRA 580G,D131,0005,UN,43412,"RIBEREBRO INTEGRAL, SAU",ZCG
0AM0091,JAE GARBANZAO EXTRA 580G,D131,0005,UN,43412,"RIBEREBRO INTEGRAL, SAU",ZCG
0AM0092,JAE LENTEJA EXTRA 580G,D131,0005,UN,43412,"RIBEREBRO INTEGRAL, SAU",ZCG
0AM0098,"ORLANDO TOMATE FRITO 2,65 KG.",D131,0005,UN,43409,"HJ HEINZ FOODS SPAIN, SLU",ZCG
0AM0099,ORLANDO TOMATE TRITURADO 5 KG.,D131,0005,UN,43409,"HJ HEINZ FOODS SPAIN, SLU",ZCG
0AM0100,"ORLANDO TOMATE TRITURADO 2,5 KG.",D131,0005,UN,43409,"HJ HEINZ FOODS SPAIN, SLU",ZCG
0AM0101,ORLANDO TOMATE FRITO 800 G.,D131,0005,UN,43409,"HJ HEINZ FOODS SPAIN, SLU",ZCG
0AM0103,EUROCEBOLLAS CEBOLLA FRITA A.OLIVA 500G,D131,0005,UN,43429,MANIPULADOS DE CEBOLLAS Y DERIVADOS,ZCG
0AM0125,VALERIO SETAS MEZCLA 3KG,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0131,MONTSIÀ ARROZ EXTRA 5 KG.,D131,0005,UN,85,CAMARA ARROSSERA DEL MONTSIA I SECC,ZCG
0AM0138,CORTIZO SARDINILLAS ACEITE OLIVA  7/10,D131,0005,UN,43422,"CONSERVERA DE RIANXO, SA",ZCG
0AM0139,LA PESCADORA BONITO MIGAS GIRASOL RO1100,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0145,NASSARI ANCHOAS ACEITE GIRASOL 150G,D131,0005,UN,43425,"SIRO I XAVI, SL",ZCG
0AM0146,BOCARI ANCHOA EN ACEITE 100 FILETES,D131,0005,UN,43425,"SIRO I XAVI, SL",ZCG
0AM0147,BOCARI BOQUERON FRESCO 570 G.,D131,0005,UN,43425,"SIRO I XAVI, SL",ZCG
0AM0149,"FAISAN TIBURON Nº 0, 5 KG.",D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0151,FAISAN MACARRONES Nº 6 5KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0152,FAISAN FIDEOS Nº 0 CABELLINI 5KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0154,FAISAN FIDEOS Nº 2 ENTREFINOS 5KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0155,FAISAN FIDEOS Nº 4 GRUESO 5KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0157,FAISAN TALLARIN 5KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0158,FAISAN ESPAGUETI Nº 3 5 KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0160,GALLO RAVIOLIS RELLENOS DE CARNE 2 KG.,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0161,GALLO TORTELINIS RELLENOS DE CARNE 2 KG.,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0164,BAYO ARROZ EXTRA 1KG,D131,0005,UN,29056,NOMEN FOODS SL,ZCG
0AM0165,BAYO ARROZ EXTRA 5 KG.,D131,0005,UN,29056,NOMEN FOODS SL,ZCG
0AM0167,BAYO ARROZ VAPORIZADO 5 KG.,D131,0005,UN,29056,NOMEN FOODS SL,ZCG
0AM0168,MONTSIÀ ARROZ VAPORIZADO 5 KG.,D131,0005,UN,85,CAMARA ARROSSERA DEL MONTSIA I SECC,ZCG
0AM0169,BAYO ARROZ BOMBA 1 KG.,D131,0005,UN,29056,NOMEN FOODS SL,ZCG
0AM0171,"MAIZENA HARINA DE FINA TRIGO 2,5 KG.",D131,0005,UN,34539,UNILEVER ESPAÑA SA,ZCG
0AM0172,GALLO PAN RALLADO ESPECIAL HOSTELERIA5KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0174,LA COCHURA LENTEJA EXTRA CAST.5KG,D131,0005,UN,43410,"LEGUMBRES LA COCHURA, SA",ZCG
0AM0175,LA COCHURA LENTEJA PARDINA 5KG,D131,0005,UN,43410,"LEGUMBRES LA COCHURA, SA",ZCG
0AM0180,AVECREM CALDO CARNE S/GLUTEN 1KG,D131,0005,UN,33728,GALLINA BLANCA S.A,ZCG
0AM0183,ROYAL CUAJADA 24G 36U,D131,0005,UN,17604,KRAFT FOODS ESPAÑA COMMERCIAL S.L.,ZCG
0AM0184,ROYAL CARAMELO LIQUIDO 1KG,D131,0005,UN,17604,KRAFT FOODS ESPAÑA COMMERCIAL S.L.,ZCG
0AM0187,ROYAL FLAN BOTE 800G 1U,D131,0005,UN,17604,KRAFT FOODS ESPAÑA COMMERCIAL S.L.,ZCG
0AM0188,ROYAL CREMA CATALANA 800 G. 26 RACIONES,D131,0005,UN,17604,KRAFT FOODS ESPAÑA COMMERCIAL S.L.,ZCG
0AM0189,ROYAL LEVADURA 900 G.,D131,0005,UN,17604,KRAFT FOODS ESPAÑA COMMERCIAL S.L.,ZCG
0AM0191,ROYAL GELATINA NEUTRA 650G,D131,0005,UN,17604,KRAFT FOODS ESPAÑA COMMERCIAL S.L.,ZCG
0AM0202,ITAC CACAHUETE VIRG PELADO FRITO SAL 2KG,D131,0005,UN,43428,"ITAC HISPANIA, SA",ZCG
0AM0212,GALLO ESPAGUETI Nº3 ESP HOSTELERIA 3KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0213,GALLO MACARRONES PULMAS Nº6 ESP HOST 3K,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0227,FRYTOP GOLD ACEITE PARA FREIR 25 L.,D131,0005,UN,43401,"GRUP PONS SINCE 1945, SL",ZCG
0AM0229,DOMESOL ACEITE DE GIRASOL 5 L.,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0230,DOMESOL ACEITE GIRASOL 25L,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0231,DOMOLIVA ACEITE DE OLIVA INTENSO 5 L.,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0232,DOMOLIVA ACEITE DE OLIVA SUAVE 5 L.,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0233,DOMOLIVA ACEITE DE OLIVA VIRGEN EXTRA 5L,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0234,SAL GARCIA SAL FINA PARA LA MESA 1KG 20U,D131,0005,CAJ,5114,"FRANCISCO GARCIA EL RISOS, S.L",ZCG
0AM0237,FEMUA VINAGRE DE VINO NEGRO 5 L.,D131,0005,UN,43403,"VINAGRERIAS RIOJANAS, SA",ZCG
0AM0238,FEMUA VINAGRE DE VINO BLANCO 5 L.,D131,0005,UN,43403,"VINAGRERIAS RIOJANAS, SA",ZCG
0AM0240,GALLO HELICES CON VEGETAL 3 KG.,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0242,GALLO PAJARITAS (LAZOS) VEGETAL 3KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0248,"GALLINA BLANCA CALDO CONC.PESCADO RJ 0,5",D131,0005,UN,33728,GALLINA BLANCA S.A,ZCG
0AM0249,GALLINA BLANCA CALDO CONCEN CARNE 50CL,D131,0005,UN,33728,GALLINA BLANCA S.A,ZCG
0AM0250,"GALLINA BLANCA CALDO CONCEN POLLO 0,5 L.",D131,0005,UN,33728,GALLINA BLANCA S.A,ZCG
0AM0251,PALADIN CHOCOLATE A LA TAZA 33G 30U,D131,0005,UN,37874,IDILIA FOODS SLU,ZCG
0AM0263,"ORLANDO KETCHUP 1,8 KG.",D131,0005,UN,43409,"HJ HEINZ FOODS SPAIN, SLU",ZCG
0AM0264,CHOVI SALSA ALLIOLI 2KG,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0272,"FAISAN TIBURON Nº 1, 5 KG.",D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0282,REPESCA ANCHOA EN ACAITE 100 FILETES,D131,0005,UN,43425,"SIRO I XAVI, SL",ZCG
0AM0283,REPESCA BOQUERON EN ACEITE 570 G.,D131,0005,UN,43425,"SIRO I XAVI, SL",ZCG
0AM0285,JUANFRA ACEITUNAS RELLENAS DE ANCHOA 2KG,D131,0005,UN,43405,"ACEITUNAS JUANFRA, SL",ZCG
0AM0286,EUROCEBOLLAS CEBOLLA FRITA CARAMELZ.500G,D131,0005,UN,43429,MANIPULADOS DE CEBOLLAS Y DERIVADOS,ZCG
0AM0288,SALSA VIANDOX 160G,D131,0005,UN,34539,UNILEVER ESPAÑA SA,ZCG
0AM0293,PAY PAY ALMEJA AL NATURAL OL120 F.A.,D131,0005,UN,43421,"CONSERVAS CERQUEIRA, SA",ZCG
0AM0297,PAY PAY CHIPIRON SALSA AMERICANA OL120,D131,0005,UN,43421,"CONSERVAS CERQUEIRA, SA",ZCG
0AM0300,PAY PAY NAVAJAS AL NATURAL OL120 F.A.,D131,0005,UN,43421,"CONSERVAS CERQUEIRA, SA",ZCG
0AM0302,AZUCARERA AZUCAR 25 KG.,D131,0005,UN,26647,AB AZUCARERA IBERIA S.L.U,ZCG
0AM0307,TOT SNACK PATATAS FRITAS 60G 18U,D131,0005,CAJ,43457,"TOT SNACK, SL",ZCG
0AM0308,DELOUISE VINAGRE BALSAMICO MODENA 50CL,D131,0005,UN,43403,"VINAGRERIAS RIOJANAS, SA",ZCG
0AM0310,"CHOVI MAYO25 MAYONESA SUAVE ESP.HOST3,6L",D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0312,"BAYMAR BERBERECHOS NATURAL  0L120, 35/45",D131,0005,UN,43423,"REDISCO ALIMENTACION, SL",ZCG
0AM0313,"CELORRIO MAYONESA 3,6 KG.",D131,0005,UN,43414,"CELORRIO FOODS, SL",ZCG
0AM0315,BAYMAR ATUN BOLSA 1KG,D131,0005,UN,43423,"REDISCO ALIMENTACION, SL",ZCG
0AM0318,EL XILLU ANCHOA DE ESCALA EN ACEITE 50F,D131,0005,UN,17482,ANXOVES EL XILLU S.L.,ZCG
0AM0322,FAISAN FIDEOS Nº 1 FINO 5KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0323,SALSA KIM VE WONG SOJA 1L,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0325,CERVANTES ENEBRO 120 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0331,BAYO ARROZ BASMATI 5 KG.,D131,0005,UN,29056,NOMEN FOODS SL,ZCG
0AM0332,ESPINALER SALSA 75 CL.,D131,0005,UN,13667,ESPINALER 1896 SL,ZCG
0AM0333,"ESPINALER SALSA 9,2CL 12U",D131,0005,CAJ,13667,ESPINALER 1896 SL,ZCG
0AM0343,ORLANDO TOMATE FRITO 2KG BRIK,D131,0005,UN,43409,"HJ HEINZ FOODS SPAIN, SLU",ZCG
0AM0352,GB SALSA PIMIENTA VERDE DESHIDRATAD 1KG,D131,0005,UN,33728,GALLINA BLANCA S.A,ZCG
0AM0354,GB SALSA DEMI GLACE DESHIDRATADA 1KG,D131,0005,UN,33728,GALLINA BLANCA S.A,ZCG
0AM0357,GALLETAS CORTESIA CAFE&TE 250U,D131,0005,CAJ,15570,"COMERGRUP, S.L.",ZCG
0AM0359,REDONDO ACEITUNA PARTIDA 9 KG.,D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0360,REDONDO ACEITUNA GAZPACHA 9 KG.,D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0361,REDONDO ACEITUNA PERDIGON 9 KG.,D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0362,REDONDO COCTEL DE ACEITUNAS 9 KG.,D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0364,CHOVI SALSA CESAR 85CL,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0365,CHOVI SALSA DE YOGUR 85CL,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0366,CHOVI SALSA DE MIEL Y MOSTAZA 82CL,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0368,SAL COSTA SAL CLASICA DE MESA 1 KG. 12U,D131,0005,CAJ,1211,SAL COSTA  S.L.U,ZCG
0AM0369,SAL COSTA SAL FINA DE MESA 5 KG.,D131,0005,UN,1211,SAL COSTA  S.L.U,ZCG
0AM0405,VALERIO GUINDILLAS EN VINAGRE 180 G.,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0407,LEYENDA BROTES DE SOJA 370 ML.,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0417,VALERIO ZANAHORIA RALLADA 370 ML.,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0425,CHOVI SALSA BARBACOA 2KG,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0451,GALLO HARINA DE TRIGO HORECA 5KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0453,CERVANTES PIMIENTA NEGRA MOLIDA 200 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0459,CERVANTES PIMENTON DULCE 200 G.,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0463,GALLO MACARRONES RALLADOS 3 KG.,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0492,CHOVI SALSA CESAR 25CL,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0493,CHOVI SALSA DE MIEL Y MOSTAZA 25CL,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0494,RANCHERA M XICO TOTOPOS (NACHOS) 1KG 4U,D131,0005,CAJ,15570,"COMERGRUP, S.L.",ZCG
0AM0501,CHOVI MOSTAZA AMARILLA 260G,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0502,CHOVI SALSA BRAVA 265G,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0504,CHOVI SALSA ALLIOLI AMB OU CAMPERO 25CL,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0506,"REDONDO ALIÑO DE LA ABUELA 2,5 KG.",D131,0005,UN,43406,"ACEITUNAS REDONDO, SL",ZCG
0AM0509,BORNIER MOSTAZA ANTIGUA EN GRANO 210 G.,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0533,RANCHERA M XICO SALSA GUACAMOLE 2 L.,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0535,RANCHERA M XICO SALSA MEJICANA 2 L.,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0539,GALLO LASAÑA DE HUEVO 320 PLACAS 4KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0553,CHOVI SALSA BRAVA ESP PATATAS 1 KG,D131,0005,UN,43400,"CHOVI, SL",ZCG
0AM0565,"ORLANDO SALSA PIZZA 2,1 KG.",D131,0005,UN,43409,"HJ HEINZ FOODS SPAIN, SLU",ZCG
0AM0567,UBAGO ATUN TRONCO ACEITE DE GIRASOL 1000,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0580,KNORR CALDO PARA PAELLA 900G 144U,D131,0005,UN,34539,UNILEVER ESPAÑA SA,ZCG
0AM0587,SOUPEEX CALDO DE PESCADO DESHIDRATADO 1K,D131,0005,UN,43416,"PROMOLAC ESPAÑA, SA",ZCG
0AM0589,SOUPEEX CALDO DE POLLO DESHIDRATADO 1 KG,D131,0005,UN,43416,"PROMOLAC ESPAÑA, SA",ZCG
0AM0606,CERVANTES ESENCIA VAINILLA 60G,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0633,"PEPUS ACEITUNAS OLIVAS 0,28KG 15U",D131,0005,CAJ,13667,ESPINALER 1896 SL,ZCG
0AM0642,PEPUS BERBERECHO NATURAL MEDIANO,D131,0005,UN,13667,ESPINALER 1896 SL,ZCG
0AM0644,PEPUS MEJILLONES ESCABECHE GRANDE,D131,0005,UN,13667,ESPINALER 1896 SL,ZCG
0AM0649,PATATA TOT SNACK C/SAL 4UX500G,D131,0005,CAJ,43457,"TOT SNACK, SL",ZCG
0AM0661,CERVANTES PIMENTON AHUMADO LA VERA 200G,D131,0005,UN,43413,"ESPECIAS CERVANTES, SL",ZCG
0AM0696,HELLMANN.S MAHONESA  5L,D131,0005,UN,34539,UNILEVER ESPAÑA SA,ZCG
0AM0698,RIFACLI CREP CACAO 1125G,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0699,LA COCHURA GARBANZO CASTELLA 5KG,D131,0005,UN,43410,"LEGUMBRES LA COCHURA, SA",ZCG
0AM0700,NUTELLA 825 G,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0702,SALSA ROMESCO FERRER POT 660G,D131,0005,UN,15570,"COMERGRUP, S.L.",ZCG
0AM0704,CARRETILLA ENSALADILLA RUSA 2KG 2U,D131,0005,CAJ,43451,"INDUSTRIAS ALIMENTARIAS DE NAVARRA,",ZCG
0AM0705,CARRETILLA ALBONDIGAS C/TOMATE 2KG 2U,D131,0005,CAJ,43451,"INDUSTRIAS ALIMENTARIAS DE NAVARRA,",ZCG
0AM0706,"CARRETILLA MACARRONES BOLOÑESA 1,8KG 2U",D131,0005,CAJ,43451,"INDUSTRIAS ALIMENTARIAS DE NAVARRA,",ZCG
0AM0710,"CARRETILLA CHAMPIÑONES Y AJOS 1,80KG 2U",D131,0005,CAJ,43451,"INDUSTRIAS ALIMENTARIAS DE NAVARRA,",ZCG
0AM0724,ITAC COCTEL TAPEO FRUTOS SECOS 800G,D131,0005,UN,43428,"ITAC HISPANIA, SA",ZCG
0AM0736,KNORR ROUX OSCURO 1KG,D131,0005,UN,34539,UNILEVER ESPAÑA SA,ZCG
0AM0738,GALLO PLUMAS Nº3 HOSTE. 3KG,D131,0005,UN,43440,"COMERCIAL GALLO, SA",ZCG
0AM0780,NOVOLIVA ACEITE DE ORUJO 5 L.,D131,0005,BOT,43402,"SAGARRA-BASCOMPTE, SA",ZCG
0AM0782,"GIMAR MINI MAGDALENA 1,5KG CHOCOLAT",D131,0005,CAJ,44180,"PASTELERIA GIMAR, SL",ZCG
0AM0820,ESPINALER SALSA HOSTELERIA 2L GARRAFA,D131,0005,UN,13667,ESPINALER 1896 SL,ZCG
0AM0831,ESPINALER MEJILLONES ESCABECHE 14/16,D131,0005,UN,13667,ESPINALER 1896 SL,ZCG
0AM0844,PAYPAY SARDINA ESCABECHE RR125,D131,0005,UN,43421,"CONSERVAS CERQUEIRA, SA",ZCG
0AM0860,AVECREM CALDO PESCADO S/GLUTEN 1KG,D131,0005,UN,33728,GALLINA BLANCA S.A,ZCG
