order_date,client_name,material,description,unit,total_quantity
2026-01-30,AKI MISMO,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,6
2026-01-30,AKI MISMO,ED15LN,ESTRELLA DAMM 1/5 LN,caj,3
2026-01-30,AKI MISMO,FD13,FREE DAMM 1/3 RET.,caj,1
2026-01-30,AKI MISMO,FDL13,FREE DAMM LIMON 1/3 RET. PP,caj,1
2026-01-30,AKI MISMO,FDT13,FREE DAMM TOSTADA 1/3 RET. PP,caj,1
2026-01-30,AKI MISMO,0RF0006,FUENTPINOS GASEOSA 50CL RET 20U,caj,1
2026-01-30,AKI MISMO,0ZU0026,GRANINI MANZANA  20CL 24U,caj,1
2026-01-30,AKI MISMO,0ZU0020,GRANINI MELOCOTON  20CL 24U,caj,1
2026-01-30,AKI MISMO,0ZU0021,GRANINI NARANJA 20CL 24U,caj,1
2026-01-30,AKI MISMO,0ZU0024,GRANINI PIÑA 20CL 24U,caj,1
2026-01-30,AKI MISMO,0VE0507,HALLAZGO CRIANZA 75CL 6U,caj,1
2026-01-30,AKI MISMO,0LI0204,J&B RARE WHISKY 1L,bot,1
2026-01-30,AKI MISMO,0VE0123,J.SALLA MOSCATELL 75CL 1U,bot,1
2026-01-30,AKI MISMO,1PLV230,JARRA LECHE LETONA 1U,un,1
2026-01-30,AKI MISMO,1PLV994,JARRA LECHE LEVANTINA 1U,un,1
2026-01-30,AKI MISMO,0LT0235,LA LEVANTINA AVENA ESP.HOST 1L 6U,caj,1
2026-01-30,AKI MISMO,0LI0720,LAGAR DO FRADE CREMA D'ORUJO PET 3L,bot,1
2026-01-30,AKI MISMO,0LI0719,LAGAR DO FRADE ORUJO DE HIERBAS PET 3L,bot,1
2026-01-30,AKI MISMO,0LT0009,LETONA GRAN CREME 1L VR 12U,caj,2
2026-01-30,AKI MISMO,0LI0044,MAGNO BRANDY 70CL,bot,1
2026-01-30,AKI MISMO,0LI0141,MARIE BRIZARD ANIS 1L,bot,1
2026-01-30,AKI MISMO,NTL13LT6,NESTEA LIMON 1/3 LATA 4U-PACK 6U.,caj,1
2026-01-30,AKI MISMO,0LI2687,P-BAILEYS ORI.CREMA WHISKY 1L,un,2
2026-01-30,AKI MISMO,UC263,PIZARRA CON SOPORTE ED,un,1
2026-01-30,AKI MISMO,0LI0032,PORTHOS CAZALLA 1L,bot,1
2026-01-30,AKI MISMO,0LI0346,PUERTO DE INDIAS STRAWBERRY GIN 70CL,bot,1
2026-01-30,AKI MISMO,0LI0172,SEAGRAM'S GIN  EXTRA DRY 70CL,bot,1
2026-01-30,AKI MISMO,0VE0524,SEÑORIO DE LIZIA VERDEJO RUEDA 75CL 6U,caj,1
2026-01-30,AKI MISMO,0VE0463,SOLAR DE ZUNIL TINTO 75CL 6U,caj,1
2026-01-30,AKI MISMO,0LI0047,TERRY BRANDY CENTENARIO 1L,bot,1
2026-01-30,AKI MISMO,TU20,TURIA BARRIL 20L.,brl,1
2026-01-30,AKI MISMO,1PLV0013,VASO CACAOLAT 6 UNIDADES,caj,1
2026-01-30,AKI MISMO,UE050,VASO CAÑA GASTRO 25CL ED CAT,un,108
2026-01-30,AKI MISMO,1PLV0011,VASO GRANINI,un,1
2026-01-30,AKI MISMO,0AG0183,VICHY CATALAN GAS 30CL RET 24U,caj,1
2026-01-30,AKI MISMO,VO13,VOLL-DAMM 1/3 RET.,caj,1
2026-01-30,ALORA,3ENV0029,C.C. CACAOLAT 30 U.,caj,1
2026-01-30,ALORA,0LT0032,CACAOLAT VIDRIO 20CL RET 30U,caj,1
2026-01-30,ALORA,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,4
2026-01-30,ALORA,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,caj,1
2026-01-30,ALORA,UE902,COPA GRANDE ED,un,6
2026-01-30,ALORA,0LM0790,"DPALILLO AGITADOR MADERA 110x6x1,5 500U",pak,1
2026-01-30,ALORA,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,3
2026-01-30,ALORA,ED15LN,ESTRELLA DAMM 1/5 LN,caj,1
2026-01-30,ALORA,0LT0034,"LETONA SEMI ESPEC HOSTELERIA PET 1,5L 6U",caj,3
2026-01-30,ALORA,0AM1167,MARINAS PATATAS OLIVA 47G  10U,caj,2
2026-01-30,ALORA,NTL13LT6,NESTEA LIMON 1/3 LATA 4U-PACK 6U.,caj,1
2026-01-30,ALORA,VO13,VOLL-DAMM 1/3 RET.,caj,1
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,0RF0124,/-COCA COLA 2L PET 6U,caj,9
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,0RF0018,/-COCA COLA ZERO 2L PET 6U,caj,9
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,0RF0168,/-FANTA NARANJA 2L PET 6U,caj,10
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,VE13SP,AGUA VERI 1/3 PET CAJA 35U. T.TH,caj,13
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,BRL30V,BARRIL INOX 30L. EURONORMA,brl,31
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,TB8V,BOTELLAS CARBONICO 8 KG.VACIOS,tb,2
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,TB8,BOTELLAS CARBONICO 8 KILOS,tb,1
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,4
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,EC13,DAURA DAMM 1/3 RET.,caj,1
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,ED30,ESTRELLA DAMM BARRIL 30,brl,5
2026-01-30,ASSOCIACIO CULTURAL SAGALS D'OSONA,FD13,FREE DAMM 1/3 RET.,caj,1
2026-01-30,AUTENTIK'S,0LM2484,COMBO VASO+TAPA NAT 8OZ 250CC 50U,pak,50
2026-01-30,BAR 28,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,1
2026-01-30,BAR 28,NTL13LT6,NESTEA LIMON 1/3 LATA 4U-PACK 6U.,caj,1
2026-01-30,BAR 28,VO13,VOLL-DAMM 1/3 RET.,caj,1
2026-01-30,BAR CHAMPANILLO,BRL30V,BARRIL INOX 30L. EURONORMA,brl,5
2026-01-30,BAR CHAMPANILLO,DL30,DAMM LEMON BARRIL 30,brl,1
2026-01-30,BAR CHAMPANILLO,ED30,ESTRELLA DAMM BARRIL 30,brl,3
2026-01-30,BAR CHAMPANILLO,TU30,TURIA BARRIL 30L.,brl,1
2026-01-30,BAR DOBLE Z,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,3
2026-01-30,BAR DOBLE Z,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,3
2026-01-30,BAR GRANADA,3ENV1281,C.C. LECHE LETONA (NUEVO),caj,1
2026-01-30,BAR GRANADA,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,9
2026-01-30,BAR GRANADA,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,9
2026-01-30,BAR GRANADA,0LT0009,LETONA GRAN CREME 1L VR 12U,caj,1
2026-01-30,BAR JALEY BAKERY,0AM0874,DIETILINEA EDULCORANTE    100U,un,3
2026-01-30,BAR JALEY BAKERY,0VE1419,EL COTO TINTO CRIANZA 75CL 1U,un,12
2026-01-30,BAR JALEY BAKERY,0AG0007,"FONT D.OR NATURAL 1,5L PET 12U",caj,1
2026-01-30,BAR JALEY BAKERY,0AG0004,FONT D.OR NATURAL 1/2 PET 24U,caj,1
2026-01-30,BAR JALEY BAKERY,0LT0035,"LETONA DESNATADA 0% HOST 1,5L PET 6U",caj,1
2026-01-30,BAR JALEY BAKERY,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",caj,4
2026-01-30,BAR JALEY BAKERY,0LT0090,LETONA SEMI SIN LACTOSA 1L PET 6U,caj,2
2026-01-30,BAR JALEY BAKERY,0AM0783,LOTUS BISCOFF 300U,caj,3
2026-01-30,BAR JALEY BAKERY,0LT0103,YOSOY AVENA BARISTA 1L BRIK 6U,caj,2
2026-01-30,BAR LA GRALLA,0AM0876,AZUCAR MORENO CEPAC 6G 500U,caj,1
2026-01-30,BAR LA GRALLA,3ENV0029,C.C. CACAOLAT 30 U.,caj,1
2026-01-30,BAR LA GRALLA,0LT0032,CACAOLAT VIDRIO 20CL RET 30U,caj,1
2026-01-30,BAR LA GRALLA,0LM2488,COMBO VASO+TAPA NAT 7OZ 200CC 50U,pak,2
2026-01-30,BAR LA GRALLA,0LM2484,COMBO VASO+TAPA NAT 8OZ 250CC 50U,pak,1
2026-01-30,BAR LA GRALLA,0LT0035,"LETONA DESNATADA 0% HOST 1,5L PET 6U",caj,1
2026-01-30,BAR LA GRALLA,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",caj,5
2026-01-30,BAR LA GRALLA,0AM1290,XPLICIT AZUCAR 7GR  1000U,caj,1
2026-01-30,BAR LA PETRA II,0RF1697,/-COCA COLA IMPORT LATA33 24U,caj,1
2026-01-30,BAR LA PETRA II,0RF0019,/-COCA COLA LATA 33CL 24U,caj,4
2026-01-30,BAR LA PETRA II,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",caj,4
2026-01-30,BAR LA PETRA II,VE13SP,AGUA VERI 1/3 PET CAJA 35U. T.TH,caj,2
2026-01-30,BAR LA PETRA II,BRL30V,BARRIL INOX 30L. EURONORMA,brl,1
2026-01-30,BAR LA PETRA II,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,caj,1
2026-01-30,BAR LA PETRA II,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,16
2026-01-30,BAR LA PETRA II,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,caj,3
2026-01-30,BAR LA PETRA II,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,16
2026-01-30,BAR LA PETRA II,ED15LN,ESTRELLA DAMM 1/5 LN,caj,3
2026-01-30,BAR LA PETRA II,ED30,ESTRELLA DAMM BARRIL 30,brl,1
2026-01-30,BAR LA PETRA II,0ZU0020,GRANINI MELOCOTON  20CL 24U,caj,1
2026-01-30,BAR LA PETRA II,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",caj,4
2026-01-30,BAR LA PETRA II,0RF0010,"LIMON GLAS 1,5 S/R 6U",caj,2
2026-01-30,BAR LA PETRA II,NTL13LT6,NESTEA LIMON 1/3 LATA 4U-PACK 6U.,caj,3
2026-01-30,BAR LA PETRA II,0AG0183,VICHY CATALAN GAS 30CL RET 24U,caj,1
2026-01-30,BAR LA PETRA II,0CF0080,XPLICIT NATURAL CREMOSO 1KG,un,2
2026-01-30,BAR LA PETRA II,1PLV0756,XPLICIT VAJILLA CAFÉ TAZA/PLATO 12U,caj,1
2026-01-30,BAR MALENO II,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,15
2026-01-30,BAR MALENO II,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,3
2026-01-30,BAR MALENO II,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",caj,4
2026-01-30,BAR MONTSERRAT,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,11
2026-01-30,BAR MONTSERRAT,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,caj,5
2026-01-30,BAR MONTSERRAT,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,11
2026-01-30,BAR MONTSERRAT,ED15LN,ESTRELLA DAMM 1/5 LN,caj,5
2026-01-30,BAR OLIVEDA,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,caj,2
2026-01-30,BAR OLIVEDA,3ENV0060,C.C.GASEOSA ZALA SANMY 1/2,caj,2
2026-01-30,BAR OLIVEDA,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,3
2026-01-30,BAR OLIVEDA,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,3
2026-01-30,BAR OLIVEDA,0AG0183,VICHY CATALAN GAS 30CL RET 24U,caj,2
2026-01-30,BAR OLIVEDA,0RF0014,ZALA GASEOSA 50CL VID. RET 20U,caj,2
2026-01-30,BAR RACO JUVENIL,0RF0019,/-COCA COLA LATA 33CL 24U,caj,5
2026-01-30,BAR RACO JUVENIL,0RF0079,/-COCA COLA ZERO LATA 33CL 24U,caj,3
2026-01-30,BAR RACO JUVENIL,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",caj,2
2026-01-30,BAR RACO JUVENIL,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,caj,3
2026-01-30,BAR RACO JUVENIL,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,14
2026-01-30,BAR RACO JUVENIL,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,caj,5
2026-01-30,BAR RACO JUVENIL,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,11
2026-01-30,BAR RACO JUVENIL,ED15LN,ESTRELLA DAMM 1/5 LN,caj,5
2026-01-30,BAR RACO JUVENIL,VO13,VOLL-DAMM 1/3 RET.,caj,3
2026-01-30,BAR RUI,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,11
2026-01-30,BAR RUI,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,10
2026-01-30,BAR RUI,VO13,VOLL-DAMM 1/3 RET.,caj,1
2026-01-30,BAR SAGITARIO,0RF0022,/-AQUARIUS LIMON 33CL LATA 24U,caj,1
2026-01-30,BAR SAGITARIO,0RF0109,/-BITTER KAS 200 SR 24U,caj,1
2026-01-30,BAR SAGITARIO,0RF0019,/-COCA COLA LATA 33CL 24U,caj,1
2026-01-30,BAR SAGITARIO,0LI0247,ANIS DEL MONO DULCE 70CL,bot,3
2026-01-30,BAR SAGITARIO,0LI0128,BAILEYS ORIGINAL CREMA WHISKY 70CL,bot,2
2026-01-30,BAR SAGITARIO,BRL30V,BARRIL INOX 30L. EURONORMA,brl,1
2026-01-30,BAR SAGITARIO,0LI0013,BEEFEATER GIN 70CL,bot,2
2026-01-30,BAR SAGITARIO,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,3
2026-01-30,BAR SAGITARIO,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,3
2026-01-30,BAR SAGITARIO,0LI0719,LAGAR DO FRADE ORUJO DE HIERBAS PET 3L,bot,1
2026-01-30,BAR SAGITARIO,0LI0016,LARIOS GIN 1L,bot,3
2026-01-30,BAR SAGITARIO,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",caj,2
2026-01-30,BAR SAGITARIO,0LI0062,PUJOL RON 1L,bot,2
2026-01-30,BAR SAGITARIO,TU30,TURIA BARRIL 30L.,brl,1
2026-01-30,BAR STACJA PL,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,caj,1
2026-01-30,BAR STACJA PL,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,1
2026-01-30,BAR STACJA PL,DL13,DAMM LEMON 1/3 RET,caj,1
2026-01-30,BAR STACJA PL,0LI0968,GLEN GRANT ARBORALIS WHISKY 70CL,bot,1
2026-01-30,BAR STACJA PL,0LI2688,P-BALLANTINE'S 1L,un,1
2026-01-30,BAR TREBOL,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,11
2026-01-30,BAR TREBOL,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,caj,5
2026-01-30,BAR TREBOL,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,11
2026-01-30,BAR TREBOL,ED15LN,ESTRELLA DAMM 1/5 LN,caj,5
2026-01-30,BAR XANIA,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,6
2026-01-30,BAR XANIA,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",caj,3
2026-01-30,BAR XANIA,VO13,VOLL-DAMM 1/3 RET.,caj,6
2026-01-30,BAR YUMEI,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,15
2026-01-30,BRACAFE,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,caj,1
2026-01-30,BRACAFE,BO13,BOCK-DAMM 1/3 RET.,caj,1
2026-01-30,BRACAFE,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,caj,1
2026-01-30,BRACAFE,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,3
2026-01-30,BRACAFE,UE902,COPA GRANDE ED,un,6
2026-01-30,BRACAFE,DL13,DAMM LEMON 1/3 RET,caj,1
2026-01-30,BRACAFE,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,1
2026-01-30,BRACAFE,0LM2486,FILM TRANSPARENTE 30x250,un,1
2026-01-30,BRACAFE,0AM1192,FLAPER COCTEL FRUTOS SECO AHORRO BOLSA 1,un,1
2026-01-30,BRACAFE,0LM2496,PAPEL DE ALUMINIO 11 MICRES 29 x 200,un,1
2026-01-30,BRACAFE,0AG0183,VICHY CATALAN GAS 30CL RET 24U,caj,1
2026-01-30,BRASSERIA EL TRIANGLE COHO,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",caj,2
2026-01-30,BRASSERIA EL TRIANGLE COHO,VE13SP,AGUA VERI 1/3 PET CAJA 35U. T.TH,caj,2
2026-01-30,BRASSERIA EL TRIANGLE COHO,BRL30V,BARRIL INOX 30L. EURONORMA,brl,2
2026-01-30,BRASSERIA EL TRIANGLE COHO,3ENV0059,C.C. 1/1 FONT D'OR MAXIMUM,caj,5
2026-01-30,BRASSERIA EL TRIANGLE COHO,3ENV0058,C.C. 1/2 FONT D'OR MAXIMUM,caj,5
2026-01-30,BRASSERIA EL TRIANGLE COHO,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,10
2026-01-30,BRASSERIA EL TRIANGLE COHO,0LM2488,COMBO VASO+TAPA NAT 7OZ 200CC 50U,pak,2
2026-01-30,BRASSERIA EL TRIANGLE COHO,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,6
2026-01-30,BRASSERIA EL TRIANGLE COHO,ED30,ESTRELLA DAMM BARRIL 30,brl,2
2026-01-30,BRASSERIA EL TRIANGLE COHO,0AG0019,FONT D.OR MAXIMUM NATURAL 1/2 RET 20U,caj,5
2026-01-30,BRASSERIA EL TRIANGLE COHO,0AG0021,FONT D.OR MAXIMUM NATURAL 1L RET 12U,caj,5
2026-01-30,BRASSERIA EL TRIANGLE COHO,FD13,FREE DAMM 1/3 RET.,caj,1
2026-01-30,BRASSERIA EL TRIANGLE COHO,0AM3979,LOTUS BISCOFF BISCUITS CRUMB 750G,un,2
2026-01-30,BRASSERIA EL TRIANGLE COHO,0AM5390,PROEZA CHAMPIÑON LAMINADO LATA 3KG,un,6
2026-01-30,BRASSERIA EL TRIANGLE COHO,0AM5387,PROEZA TOMATE TRITURADO 5KG,un,3
2026-01-30,BRASSERIA EL TRIANGLE COHO,0AM1615,ROMERO MACARRONES PLUMAS Nº5 HOST. 5KG,un,2
2026-01-30,BRASSERIA EL TRIANGLE COHO,VO13,VOLL-DAMM 1/3 RET.,caj,3
2026-01-30,Bagel Coffee,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",caj,1
2026-01-30,Bagel Coffee,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,caj,1
2026-01-30,Bagel Coffee,VE12,AGUA VERI 1/2 VIDRIO RET.,caj,2
2026-01-30,Bagel Coffee,3ENV0029,C.C. CACAOLAT 30 U.,caj,1
2026-01-30,Bagel Coffee,0LT0032,CACAOLAT VIDRIO 20CL RET 30U,caj,1
2026-01-30,Bagel Coffee,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,1
2026-01-30,Bagel Coffee,CJ12V,CAJAS COMPLETAS 1/2 V,caj,2
2026-01-30,Bagel Coffee,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,1
2026-01-30,Bagel Coffee,0LM0495,GC-NATURE SERVILL.2C RECICLDO 33x33 50U,un,6
2026-01-30,Bagel Coffee,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",caj,6
2026-01-30,Bagel Coffee,0LT0090,LETONA SEMI SIN LACTOSA 1L PET 6U,caj,1
2026-01-30,CA L'ANGEL BAR,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,2
2026-01-30,CA L'ANGEL BAR,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,caj,5
2026-01-30,CA L'ANGEL BAR,ED15LN,ESTRELLA DAMM 1/5 LN,caj,5
2026-01-30,CA L'ANGEL BAR,0AM1167,MARINAS PATATAS OLIVA 47G  10U,caj,1
2026-01-30,CA L'ANGEL BAR,0AM1290,XPLICIT AZUCAR 7GR  1000U,zpr,1
2026-01-30,CA L'ANGEL BAR,0AM1634,XPLICIT EDULCORANTE 1G 150U,zpr,1
2026-01-30,CA L'ANGEL BAR,0CF0080,XPLICIT NATURAL CREMOSO 1KG,un,1
2026-01-30,CA LA SETE,0RF0022,/-AQUARIUS LIMON 33CL LATA 24U,caj,1
2026-01-30,CA LA SETE,0RF0056,/-AQUARIUS NARANJA 33CL LATA 24U,caj,1
2026-01-30,CA LA SETE,0RF0019,/-COCA COLA LATA 33CL 24U,caj,8
2026-01-30,CA LA SETE,0RF0079,/-COCA COLA ZERO LATA 33CL 24U,caj,3
2026-01-30,CA LA SETE,0RF0021,/-FANTA LIMON LATA 33 CL 24U,caj,1
2026-01-30,CA LA SETE,0RF0020,/-FANTA NARANJA LATA 33CL 24U,caj,2
2026-01-30,CA LA SETE,PI12,AGUA PIRINEA 1/2 GAS RET,caj,1
2026-01-30,CA LA SETE,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",caj,30
2026-01-30,CA LA SETE,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,caj,3
2026-01-30,CA LA SETE,0AM1291,AZUCAR BLANCO BOLSITA 7GR ''BARES''1000U,caj,3
2026-01-30,CA LA SETE,0LM0100,BALNIC ABRILLANTADOR LAVAVAJILLAS AUTO5K,un,2
2026-01-30,CA LA SETE,BRL30V,BARRIL INOX 30L. EURONORMA,brl,1
2026-01-30,CA LA SETE,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,caj,1
2026-01-30,CA LA SETE,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,6
2026-01-30,CA LA SETE,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,caj,1
2026-01-30,CA LA SETE,CJ12V,CAJAS COMPLETAS 1/2 V,caj,1
2026-01-30,CA LA SETE,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,6
2026-01-30,CA LA SETE,ED15LN,ESTRELLA DAMM 1/5 LN,caj,1
2026-01-30,CA LA SETE,ED30,ESTRELLA DAMM BARRIL 30,brl,1
2026-01-30,CA LA SETE,0LM0789,EVERSIA BOLSA CAMISETA BIO 34X48 220U,un,1
2026-01-30,CA LA SETE,0AM0155,FAISAN FIDEOS Nº 4 GRUESO 5KG,un,1
2026-01-30,CA LA SETE,0AM0237,FEMUA VINAGRE DE VINO NEGRO 5 L.,un,3
2026-01-30,CA LA SETE,0ZU0021,GRANINI NARANJA 20CL 24U,caj,2
2026-01-30,CA LA SETE,0ZU0024,GRANINI PIÑA 20CL 24U,caj,3
2026-01-30,CA LA SETE,0AM5394,PROEZA ATUN A.GIRASOL BOLSA 1KG,un,16
2026-01-30,CA LA SETE,0RF0296,RED BULL ENERGY DRINK 25CL LATA 24U,caj,1
2026-01-30,CA LA SETE,0LM0091,TOALLA SECAMANOS 2C 20/230U,caj,1
2026-01-30,CA LA SETE,0AG0183,VICHY CATALAN GAS 30CL RET 24U,caj,1
2026-01-30,CAFETERIA ANGELA,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,1
2026-01-30,CAFETERIA ANGELA,NTL13LT6,NESTEA LIMON 1/3 LATA 4U-PACK 6U.,caj,1
2026-01-30,CAFETERIA ANGELA,VO13,VOLL-DAMM 1/3 RET.,caj,1
2026-01-30,CAFETERIA SANT TOMÀS,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,caj,4
2026-01-30,CAFETERIA SANT TOMÀS,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,caj,2
2026-01-30,CAFETERIA SANT TOMÀS,3ENV1281,C.C. LECHE LETONA (NUEVO),caj,4
2026-01-30,CAFETERIA SANT TOMÀS,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,caj,3
2026-01-30,CAFETERIA SANT TOMÀS,ED13,ESTRELLA DAMM 1/3 RET. PP,caj,2
2026-01-30,CAFETERIA SANT TOMÀS,0LT0009,LETONA GRAN CREME 1L VR 12U,caj,4
2026-01-30,CAFETERIA SANT TOMÀS,0AG0183,VICHY CATALAN GAS 30CL RET 24U,caj,2
2026-01-30,CAFETERIA SANT TOMÀS,0LT0103,YOSOY AVENA BARISTA 1L BRIK 6U,caj,2
2026-01-30,CAN BIN RESTAURANTE,0LM2483,COMBO VASO+TAPA NAT 4OZ 120CC 50U,pak,1
2026-01-30,CAN BIN RESTAURANTE,0LM0790,"DPALILLO AGITADOR MADERA 110x6x1,5 500U",pak,1
