query,lat,lon,error
"Avinguda de l'Onze de Setembre 36, 08170 MONTORNÈS DEL VALLÈS, Spain",41.544579,2.266807,
"PLAZA MOSSEN PERE BATLLE 9, 08150 PARETS DEL VALLES, Spain",41.573347,2.235706,
"Carrer de Joan XXIII 4, 08107 MARTORELLES, Spain",41.5274308,2.2428345,
"Passeig de la Conca de Besòs 33, 08403 GRANOLLERS, Spain",41.603069,2.278425,
"Carrer d'Anselm Clavé 70, 08186 LLIÇÀ D'AMUNT, Spain",41.6230442,2.2365817,
"B-500 Km 6, 08105 SANT FOST DE CAMPSENTELLE, Spain",41.514619366535435,2.2399775700787403,
"Carrer Major 64, 08170 MONTORNÈS DEL VALLÈS, Spain",41.5424778,2.265765,
"Avinguda de la Mare de Déu de Mo 26, 08170 MONTORNÈS DEL VALLÈS, Spain",41.541311,2.263102,
"PLAZA MIL.LENARI 8, 08160 MONTMELÓ, Spain",41.5540986,2.2431038,
"Avinguda de Sant Julià 201, 08403 GRANOLLERS, Spain",41.581938,2.273835,
"Carrer de Mary Santpere 1, 08150 PARETS DEL VALLES, Spain",41.565083,2.2272296,
"Carrer Lluís Companys 4, 08160 MONTMELÓ, Spain",41.5524089,2.2444788,
"Carrer de Conestable de Portugal 8, 08150 PARETS DEL VALLES, Spain",41.5729887,2.2329289,
"Avinguda de la Ribera 6, 08503 GURB, Spain",41.9432338,2.2487465,
"Carretera BV-5224 1, 08572 SANT PERE DE TORELLÓ, Spain",42.072149,2.291302,
"Carrer Matagalls 75, 08508 LES MASIES DE VOLTREGÀ, Spain",42.0085305,2.2416134,
"CARRETERA N260 KM.118 KM 118, 17534 RIBES DE FRESER, Spain",42.3057283,2.167817,
"CALLE BARCELONA 10, 08551 TONA, Spain",41.84994,2.228088,
"CALLE NOU S/N, 08505 SANTA EULÀLIA DE RIUPRIMER, Spain",41.908882,2.1899086,
"CALLE VILAMITJANA S/N, 08571 SANT VICENÇ DE TORELLÓ, Spain",42.0633689,2.2708776,
"CALLE GRACIA 12, 08573 ORÍS, Spain",42.0571713,2.2386438,
"PLAZA CAL FERRER 14, 08571 SANT VICENÇ DE TORELLÓ, Spain",42.062189,2.273413,
"Carrer del Ter 172, 08570 TORELLÓ, Spain",42.0502768,2.2484512,
"CALLE MAJOR 4, 08571 SANT VICEN# DE TORELLO, Spain",42.0746119,2.2966718,
"CARRETERA VIDRA 2, 08580 SANT QUIRZE DE BESORA, Spain",42.1159925,2.2329126,
"CALLE CAN CASARRAMONA 26, 08570 TORELLÓ, Spain",42.051936,2.244769,
"CARRETERA BERGA 31, 08580 SANT QUIRZE DE BESORA, Spain",42.099679,2.215962,
"PLAZA LA SARDANA S/N, 08570 TORELLÓ, Spain",42.0478304,2.2643391,
"CALLE GIRONA 33, 08570 TORELLÓ, Spain",42.052349,2.252188,
"CALLE ENRIC PRAT DE LA RIBA 7, 08570 TORELLÓ, Spain",42.048832,2.263831,
"Carrer de Vila-Seca 12, 08571 Vila-seca, Spain",42.0642954,2.2505389,
"Avinguda de l'Atlàntida 8, 08519 FOLGUEROLES, Spain",41.9380717,2.3175688,
"Carrer del Bisbe Castanyer 15, 08572 SANT PERE DE TORELLÓ, Spain",42.075184,2.296201,
"CARRETERA N-141 D S/N, 08506 CALLDETENES, Spain",41.9257651,2.2834318,
"CALLE MARQUES DE PALMEROLA 7, 08508 LES MASIES DE VOLTREGÀ, Spain",42.003638,2.240438,
"CALLE GRAN 1, 08506 CALLDETENES, Spain",41.925271,2.283881,
"Carrer d'en Bac de Roda 45, 08510 RODA DE TER, Spain",41.9814126,2.3096755,
"CALLE SANT ROC 29, 08503 GURB, Spain",41.940371,2.23945,
"CARRETERA SANT HILARI S/N, 08506 CALLDETENES, Spain",41.9258887,2.2792104,
"CALLE VERDAGUER 2, 08572 SANT PERE DE TORELLÓ, Spain",42.075218,2.29677,
"LUGAR HOSTAL NOU 1, 08503 GURB, Spain",41.969284,2.299297,
"CALLE SANT BARTOMEU 34, 08570 TORELLÓ, Spain",42.046312,2.265631,
"AVENIDA BALNEARI, S/N S/N, 08551 TONA, Spain",41.849465,2.228366,
"MAJOR 1, 08150 PARETS DEL VALLES, Spain",41.573002,2.233908,
"MAJOR 70, 08170 MONTORNES DEL VALLES, Spain",41.541405,2.268666,
"PORXO CAN XAMBRERS, S/N -, 08104 GALLECS, Spain",41.5643783,2.1948193,
"CALLE GARRAF 5, 08185 LLI#A DE VALL, Spain",41.578505,2.22932,
"CALLE GRAN VIAL 19-25, 08160 MONTMELÓ, Spain",41.547887,2.254429,
"Centro Comercial La Roca Villag S/N, 08430 SANTA AGNES DE MALANYANES, Spain",41.598299,2.3469974,
"CALLE NURIA 12, 08504 SANT JULIÀ DE VILATORTA, Spain",41.9231156,2.3244213,
"CALLE SOCOS 20, 08540 CENTELLES, Spain",41.796716,2.218901,
"Carrer de Sant Agustí 13, 08512 SANT HIPÒLIT DE VOLTREGÀ, Spain",42.0157367,2.2428525,
"PLAZA VELLA 11, 08570 TORELLÓ, Spain",42.046379,2.262004,
"CALLE GES D'AVALL 4, 08570 TORELLÓ, Spain",42.04676,2.261599,
"Carrer Barcelona 1, 08508 LES MASIES DE VOLTREGÀ, Spain",42.0163676,2.2451322,
"Ponent 59, 08400 GRANOLLERS, Spain",41.612889,2.286942,
"CALLE FOLCH I TORRES S/N, 08160 MONTMELÓ, Spain",41.5515189,2.2480812,
"CARRETERA DE PARETS A BIGUES I KM 8, 08186 LLIÇA DE MUNT, Spain",41.609371595,2.2243725199999997,
"BV-5006 5006, 08106 SANTA MARIA DE MARTORELLES, Spain",41.524215,2.247227,
"CALLE CARRERADA 1, 08107 MARTORELLES, Spain",41.533594,2.234378,
"CALLE DOCTOR FERRAN 3, 08160 MONTMELÓ, Spain",41.568615,2.231564,
"MASIA CAN CARRANCA S/N -, 08107 MARTORELLES, Spain",41.52851,2.2374755,
"JOANOT MARTORELL 32, 08400 GRANOLLERS, Spain",41.611131,2.277737,
"Avinguda de Catalunya 111, 08150 PARETS DEL VALLES, Spain",41.5577591,2.2274657,
"CAN FENOSA 1-2 -, 08107 MARTORELLES, Spain",41.535518,2.237087,
"CALLE TORRENT DE CAN NINOU 1, 08150 PARETS DEL VALLES, Spain",41.578107,2.245355,
"Avinguda de la Llibertat 30, 08100 MOLLET DEL VALLES, Spain",41.5338114,2.2103053,
"CALLE GAIETA VINZIA 76, 08100 MOLLET DEL VALLÈS, Spain",41.5417587,2.2096754,
"JOAN MARAGALL 17, 08100 MOLLET DEL VALLÈS, Spain",41.5367615,2.2064101,
"CALLE JOAQUIM MIR 57, 08100 MOLLET DEL VALLES, Spain",41.547942,2.2194241,
"CALLE GALLECS 50, 08100 MOLLET DEL VALLES, Spain",41.546887,2.208399,
"Avinguda de la Llibertat 12, 08100 MOLLET DEL VALLES, Spain",41.5369045,2.2119365,
"RAMBLA POMPEU FABRA 40, 08100 MOLLET DEL VALLES, Spain",41.5408673,2.2191655,
"Passatge Sant Miquel 10, 08100 MOLLET DEL VALLES, Spain",41.5373051,2.2120439,
"Rambla de Pompeu Fabra 14, 08100 MOLLET DEL VALLES, Spain",41.5388602,2.2176096,
"CALLE CAN PANTIQUET 22, 08100 MOLLET DEL VALLES, Spain",41.544126,2.218215,
"CALLE JOAN MARAGALL S/N, 08100 MOLLET DEL VALLES, Spain",41.5332231,2.2068737,
"Ronda d'Orient 1, 08100 MOLLET DEL VALLES, Spain",41.5335078,2.2176302,
"AVENIDA JAUME I 166, 08100 MOLLET DEL VALLES, Spain",41.542684,2.216178,
"CARRETERA C-17 S/N, 08100 MOLLET DEL VALLES, Spain",41.551196,2.223986,
"AVENIDA RABASSAIRES 40, 08100 MOLLET DEL VALLÈS, Spain",41.540712,2.222108,
"Avinguda de Can Prat s/n, 08100 MOLLET DEL VALLES, Spain",41.5397125,2.2243481,
"CL QUARTER NORD 1, 08100 MOLLET DEL VALLES, Spain",41.55519,2.227346,
"CALLE FERRO 33, 08100 MOLLET DEL VALLES, Spain",41.550897,2.232691,
"P.I. CAN MAGAROLA, CTRA. NAC 152, K, 08100 MOLLET DEL VALLES, Spain",41.55797,2.230448,
"CALLE ANSELM CLAVE 43, 08100 MOLLET DEL VALLES, Spain",41.5401113,2.2166876,
"AVENIDA CALDERO 48, 08100 MOLLET DEL VALLES, Spain",41.535289,2.21273,
"Carrer de Marià Fortuny 38, 08100 MOLLET DEL VALLES, Spain",41.5393484,2.2130934,
"Carrer de Lluís Duran 20, 08100 MOLLET DEL VALLES, Spain",41.536787,2.2135311,
"Avinguda Badalona 18, 08100 MOLLET DEL VALLES, Spain",41.534038,2.21102,
"CALLE FRANCESC MACIA 51, 08100 MOLLET DEL VALLES, Spain",41.534785,2.215567,
"CALLE ONZE DE SETEMBRE 26, 08100 MOLLET DEL VALLES, Spain",41.557802,2.223408,
"CALLE GAIETA VINZIA 11, 08100 MOLLET DEL VALLES, Spain",41.5399187,2.2118764,
"NICARAGUA S/N -, 08100 MOLLET DEL VALLES, Spain",41.548998,2.2052385,
"AVENIDA LLIBERTAT 14, 08100 MOLLET DEL VALLES, Spain",41.536624,2.211875,
"CALLE GAIETA VINZIA 81, 08100 MOLLET DEL VALLES, Spain",41.5413828,2.2099163,
"FRANCESC CAMBO 21 -, 08100 MOLLET DEL VALLES, Spain",41.5393929,2.2108804,
"CALLE MOSSOS D'ESQUADRA 4, 08100 MOLLET DEL VALLES, Spain",41.555525,2.227652,
"CALLE PAU CLARIS 19, 08100 MOLLET DEL VALLES, Spain",41.536442,2.213238,
"Carrer de Joan Brossa 7, 08100 MOLLET DEL VALLES, Spain",41.5393484,2.2130934,
"CALLE ONZE DE SETEMBRE 28, 08100 MOLLET DEL VALLES, Spain",41.557902,2.2234,
"Carrer de Saragossa 1, 08100 MOLLET DEL VALLES, Spain",41.5398093,2.2101021,
"CALLE BERENGUER III 57, 08100 MOLLET DEL VALLES, Spain",41.536236,2.215648,
"BERENGUER III 98, 08100 MOLLET DEL VALLES, Spain",41.536285,2.215335,
"ITALIA 46, 08100 MOLLET DEL VALLES, Spain",41.533902,2.213819,
"RONDA ORIENT 8, 08100 MOLLET DEL VALLES, Spain",41.5334748,2.2175419,
"CALLE FRANCESC MACIA 89, 08100 MOLLET DEL VALLÈS, Spain",41.533704,2.217034,
"CALLE LA RIERA 13, 08100 MOLLET DEL VALLES, Spain",41.536485,2.217522,
"RAMBLA POMPEU FABRA 10, 08100 MOLLET DEL VALLES, Spain",41.5385546,2.2173766,
"Antoni Gaudi 10, 08100 MOLLET DEL VALLES, Spain",41.5446079,2.217888,
"Carrer de Jaume Coll 3, 08100 MOLLET DEL VALLES, Spain",41.5458365,2.2069974,
"PASAJE LA PAU S/N, 08100 MOLLET DEL VALLES, Spain",41.5393484,2.2130934,
"RAMBLA POMPEU FABRA 7, 08100 MOLLET DEL VALLES, Spain",41.546403,2.2214413,
"CALLE GALLECS 58, 08100 MOLLET DEL VALLES, Spain",41.548026,2.207937,
"CALLE CAN PANTIQUET 26, 08100 MOLLET DEL VALLES, Spain",41.544357,2.21845,
"Plaça de Prat de la Riba 11, 08100 MOLLET DEL VALLES, Spain",41.5388501,2.2135294,
"Avinguda de Rivoli 24, 08100 MOLLET DEL VALLES, Spain",41.5467073,2.20806,
"CERVANTES 19-23, 08100 MOLLET DEL VALLES, Spain",41.5432985,2.2095811,
"CALLE GALLECS 64, 08100 MOLLET DEL VALLES, Spain",41.5484192,2.2077722,
"AVENIDA CALDES DE MONTBUI 18, 08100 MOLLET DEL VALLES, Spain",41.5434164,2.2076969,
"CALLE JAUME COLL 9, 08100 MOLLET DEL VALLES, Spain",41.5465437,2.2066997,
"AGRICULTURA 9, 08100 MOLLET DEL VALLES, Spain",41.526917,2.233278,
"PRAT DE LA RIBA 13, 08100 MOLLET DEL VALLES, Spain",41.538791,2.21358,
"CALLE PERE RAMON 1, 08100 MOLLET DEL VALLES, Spain",41.539015,2.212883,
"Plaça de Prat de la Riba 12, 08100 MOLLET DEL VALLES, Spain",41.538822,2.213551,
"CALLE AGRICULTURA 18, 08100 MOLLET DEL VALLES, Spain",41.5448735,2.2053181,
"CALLE SALVADOR ESPRIU 30, 08100 MOLLET DEL VALLES, Spain",41.5473369,2.2059142,
"CALLE CLAUDI ARAÑO I ARAÑO 17, 08100 MOLLET DEL VALLES, Spain",41.553149,2.232206,
"AVENIDA ANTONI GAUDI 30-32, 08100 MOLLET DEL VALLES, Spain",41.546598,2.219778,
"Passatge de l'Ombra 1, 08100 MOLLET DEL VALLÈS, Spain",41.5407251,2.2048761,
"AVENIDA RABASSAIRES 46-50, 08100 MOLLET DEL VALLES, Spain",41.541545,2.22264,
"AVENIDA JAUME I 3-5, 08100 MOLLET DEL VALLES, Spain",41.5381711,2.2113157,
"CALLE AGRICULTURA 37, 08100 MOLLET DEL VALLES, Spain",41.544893,2.206331,
"AVENIDA ANTONI GAUDI 46, 08100 MOLLET DEL VALLES, Spain",41.547292,2.220505,
"CAN MOLLET 1, 08100 MOLLET DEL VALLES, Spain",41.542748,2.217555,
"CALLE ENRIC MORERA 37, 08100 MOLLET DEL VALLES, Spain",41.5434316,2.2186104,
"AVENIDA JAUME I 154, 08100 MOLLET DEL VALLES, Spain",41.542487,2.215686,
"RAMBLA POMPEU FABRA 4, 08100 MOLLET DEL VALLÈS, Spain",41.546403,2.2214413,
"CALLE FRANCESC LAYRET 65, 08100 MOLLET DEL VALLES, Spain",41.5469903,2.2035472,
"Passeig de la Ronda 7, 08100 MOLLET DEL VALLES, Spain",41.5393484,2.2130934,
"Carrer de Sant Jordi 56, 08100 MOLLET DEL VALLES, Spain",41.5409278,2.2081578,
"Avinguda de Caldes de Montbui 17, 08100 MOLLET DEL VALLES, Spain",41.545072,2.2056984,
"Carrer de Sant Llorenç 52, 08100 MOLLET DEL VALLES, Spain",41.5416294,2.2110669,
"Carrer de Salvador Espriu 7, 08100 MOLLET DEL VALLES, Spain",41.5475361,2.2076759,
"CALLE SALVADOR ESPRIU 38, 08100 MOLLET DEL VALLES, Spain",41.5469943,2.2044719,
"Carrer de Sant Ramon 36, 08100 MOLLET DEL VALLES, Spain",41.533315,2.2153872,
"Avinguda d'Antoni Gaudí 12, 08100 Mollet del Vallès, Spain",41.5446936,2.217975,
"Carrer de la Pau 28, 08100 MOLLET DEL VALLES, Spain",41.5380416,2.2141858,
"Carrer de Gaietà Ventalló 33, 08100 MOLLET DEL VALLES, Spain",41.5396242,2.2145983,
"Carrer del Ferrocarril 80, 08100 MOLLET DEL VALLES, Spain",41.54167,2.2073608,
"CALLE PAU VILA 12, 08100 MOLLET DEL VALLES, Spain",41.5459864,2.210377,
"Carrer d'Anselm Clavé 15, 08100 MOLLET DEL VALLES, Spain",41.538729,2.2143873,
"Carrer de Gallecs 47, 08100 MOLLET DEL VALLES, Spain",41.5460003,2.2087202,
"Carrer de Gaietà Vínzia 20, 08100 MOLLET DEL VALLES, Spain",41.5402135,2.2117422,
"Carrer de l'Agricultura 11, 08100 MOLLET DEL VALLES, Spain",41.5457329,2.207969,
"Carrer de Claudi Arañó i Arañó 17, 08100 MOLLET DEL VALLES, Spain",41.5536075,2.2301146,
"Carrer de Francesc Ferrer i Guàr 21, 08100 MOLLET DEL VALLES, Spain",41.5484695,2.2068016,
"Rambla Nova 93, 08100 MOLLET DEL VALLES, Spain",41.5396122,2.2099801,
"Avinguda del Parc 1, 08100 MOLLET DEL VALLES, Spain",41.5449562,2.212899,
"Carrer de Francesc Macià 62, 08100 MOLLET DEL VALLES, Spain",41.5348907,2.2146578,
"AVENIDA CALDES DE MONTBUI 21, 08100 MOLLET DEL VALLES, Spain",41.545615,2.205411,
"Carrer de Francesc Layret 28, 08100 MOLLET DEL VALLES, Spain",41.5472792,2.2037207,
"Carrer de la Pau 21, 08100 MOLLET DEL VALLES, Spain",41.5379929,2.2145252,
"Carrer de Gallecs 75, 08100 MOLLET DEL VALLES, Spain",41.5483739,2.2074409,
"Carrer de Francesc Layret 71, 08100 MOLLET DEL VALLES, Spain",41.5474286,2.203361,
"Carrer de Francesc Layret 6, 08100 MOLLET DEL VALLES, Spain",41.5448415,2.2047268,
"Carrer Jaume Coll 5, 08100 MOLLET DEL VALLES, Spain",41.5460519,2.2069067,
"Carrer de Can Pantiquet S/N, 08100 MOLLET DEL VALLES, Spain",41.545883,2.2198936,
"AVENIDA ANTONI GAUDI 62, 08100 MOLLET DEL VALLES, Spain",41.548025,2.220474,
"Avinguda de Jaume I 156, 08100 MOLLET DEL VALLES, Spain",41.5426487,2.2153762,
"Carrer de Berenguer III 156, 08100 POLINYÀ, Spain",41.5350301,2.2170964,
"Plaza mayor 5, 08100 MOLLET DEL VALLES, Spain",41.534138,2.205235,
"Carrer de Gaietà Vínzia 44, 08100 MOLLET DEL VALLES, Spain",41.5408021,2.2109429,
"CAMINO CAN VILA S/N, 08100 MOLLET DEL VALLES, Spain",41.538162,2.188592,
"FERROCARRIL 52 -, 08100 MOLLET DEL VALLES, Spain",41.543014,2.2102571,
