Material,TpMt,UMA,Contador,Denom.,Código EAN/UPC,Longitud,Unidad dimensión,Ancho,Unidad dimensión,Altura,Unidad dimensión,Unidad dimensión,Volumen,UV,UV,Peso bruto,Un,Un,Peso neto,Un,Jquía.productos
ED15C,ZFIN,MNT,10,1,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0101
ED15C,ZFIN,CAM,1680,1,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,13.7,KG,00CZ0101
ED15C,ZFIN,L,1000,6000,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0101
ED15C,ZFIN,ZCE,100,100,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0101
ED15C,ZFIN,ZPE,5688,100,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0101
ED15C,ZFIN,ZPA,5250,100,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0101
ED15C,ZFIN,GRP,100,1310,,0,,0,,0,,,0,,,0,KG,KG,13.7,KG,00CZ0101
ED15C,ZFIN,KGL,10000,10102,,0,,0,,0,,,0,,,0,KG,KG,13.7,KG,00CZ0101
ED15C,ZFIN,V%,1000,5400,,0,,0,,0,,,0,,,0,KG,KG,13.7,KG,00CZ0101
ED15C,ZFIN,UN,1,30,8410793020154,54,MM,54,MM,195,MM,MM,0.2,L,L,0.457,KG,KG,13.7,KG,00CZ0101
ED15C,ZFIN,CAJ,1,1,8410793020352,300,MM,400,MM,220,MM,MM,6,L,L,14.043,KG,KG,13.7,KG,00CZ0101
ED15C,ZFIN,BOT,1,30,8410793020154,54,MM,54,MM,195,MM,MM,0.2,L,L,0.457,KG,KG,13.7,KG,00CZ0101
ED15C,ZFIN,PAL,70,1,,100,CM,120,CM,168,CM,CM,420,L,L,983.01,KG,KG,13.7,KG,00CZ0101
UE904CAT,ZPLV,CAM,30720,1,,0,,0,,0,,,0,,,0,,,0.237,KG,01CZ0101
UE904CAT,ZPLV,CAJ,6,1,,26.3,CM,17.5,CM,18.5,CM,CM,0.085,HL,HL,1.547,KG,KG,0.237,KG,01CZ0101
UE904CAT,ZPLV,PAL,960,1,,80,CM,120,CM,164,CM,CM,1.574,M3,M3,247.52,KG,KG,0.237,KG,01CZ0101
UE904CAT,ZPLV,UN,1,1,38403817919047,8.4,CM,8.4,CM,18,CM,CM,1.27,DM3,DM3,0.258,KG,KG,0.237,KG,01CZ0101
UE904CAT,ZPLV,ZOP,960,1,,0,,0,,0,,,0,,,0,,,0.237,KG,01CZ0101
UE904CAT,ZPLV,ZPE,960,1,,0,,0,,0,,,0,,,0,,,0.237,KG,01CZ0101
UE941CAT,ZPLV,CAM,3456,1,,0,,0,,0,,,0,,,0,,,1.6,KG,01CZ0101
UE941CAT,ZPLV,CAJ,12,1,,60,CM,25,CM,87,CM,CM,0.3,HL,HL,21.422,KG,KG,1.6,KG,01CZ0101
UE941CAT,ZPLV,PAL,108,1,,80,CM,120,CM,165,CM,CM,1.248,M3,M3,192.8,KG,KG,1.6,KG,01CZ0101
UE941CAT,ZPLV,UN,1,1,38434021209419,55,CM,1.2,CM,85,CM,CM,13.216,DM3,DM3,1.785,KG,KG,1.6,KG,01CZ0101
UE941CAT,ZPLV,ZOP,108,1,,0,,0,,0,,,0,,,0,,,1.6,KG,01CZ0101
UE941CAT,ZPLV,ZPA,108,1,,0,,0,,0,,,0,,,0,,,1.6,KG,01CZ0101
UE941CAT,ZPLV,ZPE,108,1,,0,,0,,0,,,0,,,0,,,1.6,KG,01CZ0101
UE941CAT,ZPLV,ZPM,108,1,,0,,0,,0,,,0,,,0,,,1.6,KG,01CZ0101
UE941CAT,ZPLV,ZPR,1,1,,0,,0,,0,,,0,,,0,,,1.6,KG,01CZ0101
XI13LTX,ZFIN,ZPR,1,1,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0103
XI13LTX,ZFIN,ZOP,99,1,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0103
XI13LTX,ZFIN,ZPM,99,1,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0103
XI13LTX,ZFIN,MNT,9,1,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0103
XI13LTX,ZFIN,CAM,2772,1,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,8.35,KG,00CZ0103
XI13LTX,ZFIN,L,1000,7920,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0103
XI13LTX,ZFIN,ZCE,100,100,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0103
XI13LTX,ZFIN,ZPE,9900,100,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0103
XI13LTX,ZFIN,ZPA,8663,100,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0103
XI13LTX,ZFIN,KGL,10000,10083,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,8.35,KG,00CZ0103
XI13LTX,ZFIN,GRP,100,1070,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,8.35,KG,00CZ0103
XI13LTX,ZFIN,V%,1000,4600,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,8.35,KG,00CZ0103
XI13LTX,ZFIN,UN,1,24,8410793016133,66,MM,66,MM,116,MM,MM,0.33,L,L,0.348,KG,KG,8.35,KG,00CZ0103
XI13LTX,ZFIN,CAJ,1,1,8410793016232,397,MM,265,MM,116,MM,MM,7.92,L,L,8.6,KG,KG,8.35,KG,00CZ0103
XI13LTX,ZFIN,LAT,1,24,8410793016133,66,MM,66,MM,116,MM,MM,0.33,L,L,0.348,KG,KG,8.35,KG,00CZ0103
XI13LTX,ZFIN,PAL,99,1,68410793016234,80,CM,120,CM,142,CM,CM,784.08,L,L,851.4,KG,KG,8.35,KG,00CZ0103
XI11SB6X,ZFIN,ZPR,1,1,,0,,0,,0,,,0,,,0,,,8.95,KG,00CZ0103
XI11SB6X,ZFIN,ZOP,76,1,,0,,0,,0,,,0,,,0,,,8.95,KG,00CZ0103
XI11SB6X,ZFIN,ZPM,76,1,,0,,0,,0,,,0,,,0,,,8.95,KG,00CZ0103
XI11SB6X,ZFIN,MNT,19,1,,0,,0,,0,,,0,,,0,,,8.95,KG,00CZ0103
XI11SB6X,ZFIN,CAM,2432,1,,0,CM,0,CM,0,CM,CM,0,,,0,,,8.95,KG,00CZ0103
XI11SB6X,ZFIN,ZCE,100,50,,0,,0,,0,,,0,,,0,,,8.95,KG,00CZ0103
XI11SB6X,ZFIN,KGL,10000,10083,,0,,0,,0,,,0,,,0,,,8.95,KG,00CZ0103
XI11SB6X,ZFIN,ZPE,7600,100,,0,,0,,0,,,0,,,0,,,8.95,KG,00CZ0103
XI11SB6X,ZFIN,ZPA,7600,100,,0,,0,,0,,,0,,,0,,,8.95,KG,00CZ0103
XI11SB6X,ZFIN,V%,1000,4600,,0,,0,,0,,,0,,,0,,,8.95,KG,00CZ0103
XI11SB6X,ZFIN,GRP,100,1070,,0,,0,,0,,,0,,,0,,,8.95,KG,00CZ0103
XI11SB6X,ZFIN,L,1,6,,0,,0,,0,,,0,,,0,KG,KG,8.95,KG,00CZ0103
XI11SB6X,ZFIN,UN,1,6,8410793013118,87,MM,87,MM,293,MM,MM,1,L,L,1.492,KG,KG,8.95,KG,00CZ0103
XI11SB6X,ZFIN,CAJ,1,1,8410793013316,270,MM,178,MM,296,MM,MM,6,L,L,9.279,KG,KG,8.95,KG,00CZ0103
XI11SB6X,ZFIN,BOT,1,6,8410793013118,87,MM,87,MM,293,MM,MM,1,L,L,1.492,KG,KG,8.95,KG,00CZ0103
XI11SB6X,ZFIN,PAK,1,1,8410793013316,270,MM,178,MM,296,MM,MM,6,L,L,9.279,KG,KG,8.95,KG,00CZ0103
XI11SB6X,ZFIN,PAL,76,1,38410793013317,80,CM,120,CM,134,CM,CM,456,L,L,705.204,KG,KG,8.95,KG,00CZ0103
VO15,ZFIN,BOT,1,30,8410793030153,54,CM,54,CM,195,CM,CM,0.2,L,L,0.457,KG,KG,13.7,KG,00CZ0102
VO15,ZFIN,CAJ,1,1,8410793030559,300,CM,400,CM,220,CM,CM,6,L,L,14.043,KG,KG,13.7,KG,00CZ0102
VO15,ZFIN,GRP,100,1710,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0102
VO15,ZFIN,KGL,10000,10153,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0102
VO15,ZFIN,L,1000,6000,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0102
VO15,ZFIN,MNT,10,1,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0102
VO15,ZFIN,PAL,70,1,68410793030551,100,CM,120,CM,168,CM,CM,420,L,L,983.01,KG,KG,13.7,KG,00CZ0102
VO15,ZFIN,UN,1,30,8410793030153,54,CM,54,CM,195,CM,CM,0.2,L,L,0.457,KG,KG,13.7,KG,00CZ0102
VO15,ZFIN,V%,1000,7200,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0102
VO15,ZFIN,ZCE,100,100,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0102
VO15,ZFIN,ZOP,70,1,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0102
VO15,ZFIN,ZPA,5250,100,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0102
VO15,ZFIN,ZPE,5688,100,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0102
VO15,ZFIN,ZPM,70,1,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0102
VO15,ZFIN,ZPR,1,1,,0,,0,,0,,,0,,,0,,,13.7,KG,00CZ0102
VO15,ZFIN,CAM,1820,1,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,13.7,KG,00CZ0102
VO14C6N,ZFIN,ZPR,1,1,,0,,0,,0,,,0,,,0,,,10.76,KG,00CZ0102
VO14C6N,ZFIN,ZOP,77,1,,0,,0,,0,,,0,,,0,,,10.76,KG,00CZ0102
VO14C6N,ZFIN,ZPM,77,1,,0,,0,,0,,,0,,,0,,,10.76,KG,00CZ0102
VO14C6N,ZFIN,MNT,11,1,,0,,0,,0,,,0,,,0,,,10.76,KG,00CZ0102
VO14C6N,ZFIN,CAM,2156,1,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,10.76,KG,00CZ0102
VO14C6N,ZFIN,L,1000,6000,,0,,0,,0,,,0,,,0,,,10.76,KG,00CZ0102
VO14C6N,ZFIN,ZCE,100,100,,0,,0,,0,,,0,,,0,,,10.76,KG,00CZ0102
VO14C6N,ZFIN,ZPE,7700,100,,0,,0,,0,,,0,,,0,,,10.76,KG,00CZ0102
VO14C6N,ZFIN,ZPA,6738,100,,0,,0,,0,,,0,,,0,,,10.76,KG,00CZ0102
VO14C6N,ZFIN,KGL,10000,10153,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,10.76,KG,00CZ0102
VO14C6N,ZFIN,GRP,100,1710,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,10.76,KG,00CZ0102
VO14C6N,ZFIN,V%,1000,7200,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,10.76,KG,00CZ0102
VO14C6N,ZFIN,UN,1,24,8410793031945,56,MM,56,MM,196,MM,MM,0.25,L,L,0.448,KG,KG,10.76,KG,00CZ0102
VO14C6N,ZFIN,CAJ,1,1,8410793034045,337,MM,226,MM,196,MM,MM,6,L,L,11.085,KG,KG,10.76,KG,00CZ0102
VO14C6N,ZFIN,BOT,1,24,8410793031945,56,MM,56,MM,196,MM,MM,0.25,L,L,0.448,KG,KG,10.76,KG,00CZ0102
VO14C6N,ZFIN,PAK,1,4,8410793033840,0,MM,0,MM,0,MM,MM,1.5,L,L,0,KG,KG,10.76,KG,00CZ0102
VO14C6N,ZFIN,Y04,1,1,505349,0,,0,,0,,,0,,,0,,,10.76,KG,00CZ0102
VO14C6N,ZFIN,Y34,1,1,505350,0,,0,,0,,,0,,,0,,,10.76,KG,00CZ0102
VO14C6N,ZFIN,PAL,77,1,,80,CM,120,CM,152,CM,CM,462,L,L,853.545,KG,KG,10.76,KG,00CZ0102
VO13SR,ZFIN,ZPR,1,1,,0,,0,,0,,,0,,,0,,,14.75,KG,00CZ0102118201
VO13SR,ZFIN,MNT,9,1,,0,,0,,0,,,0,,,0,,,14.75,KG,00CZ0102118201
VO13SR,ZFIN,L,1000,7920,,0,,0,,0,,,0,,,0,,,14.75,KG,00CZ0102118201
VO13SR,ZFIN,ZCE,100,100,,0,,0,,0,,,0,,,0,,,14.75,KG,00CZ0102118201
VO13SR,ZFIN,ZPE,5063,100,,0,,0,,0,,,0,,,0,,,14.75,KG,00CZ0102118201
VO13SR,ZFIN,ZPA,5063,100,,0,,0,,0,,,0,,,0,,,14.75,KG,00CZ0102118201
VO13SR,ZFIN,KGL,10000,10153,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,14.75,KG,00CZ0102118201
VO13SR,ZFIN,GRP,100,1700,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,14.75,KG,00CZ0102118201
VO13SR,ZFIN,V%,1000,7200,,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,14.75,KG,00CZ0102118201
VO13SR,ZFIN,CAM,1620,1,,0,CM,0,CM,0,CM,CM,0,,,25235,KG,KG,14.75,KG,00CZ0102118201
VO13SR,ZFIN,PAL,54,1,,0,CM,0,CM,161,CM,CM,0,,,0,KG,KG,14.75,KG,00CZ0102118201
VO13SR,ZFIN,UN,1,24,8410793032935,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,14.75,KG,00CZ0102118201
VO13SR,ZFIN,CAJ,1,1,8410793033437,0,CM,0,CM,0,CM,CM,7.92,L,L,15.21,KG,KG,14.75,KG,00CZ0102118201
VO13SR,ZFIN,BOT,1,24,8410793032935,0,CM,0,CM,0,CM,CM,0,,,0,KG,KG,14.75,KG,00CZ0102118201
VO13SR,ZFIN,Y04,1,1,500837,0,,0,,0,,,0,,,0,,,14.75,KG,00CZ0102118201
VO13SR,ZFIN,Y35,1,1,500838,0,,0,,0,,,0,,,0,,,14.75,KG,00CZ0102118201
VO13LTN,ZFIN,ZPR,1,1,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0102
VO13LTN,ZFIN,ZOP,99,1,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0102
VO13LTN,ZFIN,ZPM,99,1,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0102
VO13LTN,ZFIN,MNT,9,1,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0102
VO13LTN,ZFIN,CAM,2772,1,,0,,0,,0,,,0,,,0,KG,KG,8.35,KG,00CZ0102
VO13LTN,ZFIN,L,1000,7920,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0102
VO13LTN,ZFIN,ZCE,100,100,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0102
VO13LTN,ZFIN,ZPE,9900,100,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0102
VO13LTN,ZFIN,ZPA,8663,100,,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0102
VO13LTN,ZFIN,GRP,100,1710,,0,,0,,0,,,0,,,0,KG,KG,8.35,KG,00CZ0102
VO13LTN,ZFIN,KGL,10000,10153,,0,,0,,0,,,0,,,0,KG,KG,8.35,KG,00CZ0102
VO13LTN,ZFIN,V%,1000,7200,,0,,0,,0,,,0,,,0,KG,KG,8.35,KG,00CZ0102
VO13LTN,ZFIN,PAL,99,1,38410793036231,80,CM,120,CM,142,CM,CM,784.08,L,L,851.4,KG,KG,8.35,KG,00CZ0102
VO13LTN,ZFIN,UN,1,24,8410793036131,66,CM,66,CM,116,CM,CM,0.33,L,L,0.36,KG,KG,8.35,KG,00CZ0102
VO13LTN,ZFIN,CAJ,1,1,8410793036230,397,CM,265,CM,116,CM,CM,7.92,L,L,8.6,KG,KG,8.35,KG,00CZ0102
VO13LTN,ZFIN,LAT,1,24,8410793036131,66,CM,66,CM,116,CM,CM,0.33,L,L,0.36,KG,KG,8.35,KG,00CZ0102
VO13LTN,ZFIN,Y04,1,1,501339,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0102
VO13LTN,ZFIN,Y34,1,1,501340,0,,0,,0,,,0,,,0,,,8.35,KG,00CZ0102
VE51SRPN,ZFIN,CAJ,1,1,8413384524567,400,MM,153,MM,357,MM,MM,15,L,L,15.868,KG,KG,15.451,KG,00AG0870
VE51SRPN,ZFIN,GAR,1,3,8413384523164,148,MM,130,MM,346,MM,MM,5,L,L,5.15,KG,KG,15.451,KG,00AG0870
VE51SRPN,ZFIN,L,1,15,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRPN,ZFIN,MNT,15,1,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRPN,ZFIN,PAL,60,1,38413384524568,80,CM,120,CM,157,CM,CM,900,L,L,952.062,KG,KG,15.451,KG,00AG0870
VE51SRPN,ZFIN,UN,1,3,8413384523164,148,MM,130,MM,346,MM,MM,5,L,L,5.15,KG,KG,15.451,KG,00AG0870
VE51SRPN,ZFIN,Y04,1,1,501995,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRPN,ZFIN,Y35,1,1,501996,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRPN,ZFIN,ZCE,100,150,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRPN,ZFIN,ZOP,60,1,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRPN,ZFIN,ZPA,4500,100,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRPN,ZFIN,ZPE,6000,100,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRPN,ZFIN,ZPM,60,1,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRPN,ZFIN,ZPR,1,1,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRPN,ZFIN,CAM,1680,1,,0,,0,,0,,,0,,,25235,KG,KG,15.451,KG,00AG0870
VE51SRP,ZFIN,ZPR,1,1,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRP,ZFIN,ZOP,60,1,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRP,ZFIN,ZPM,60,1,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRP,ZFIN,MNT,15,1,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRP,ZFIN,L,1,15,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRP,ZFIN,ZCE,100,150,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRP,ZFIN,ZPE,6000,100,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRP,ZFIN,ZPA,4500,100,,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRP,ZFIN,UN,1,3,8413384523164,148,MM,130,MM,346,MM,MM,5,L,L,5.15,KG,KG,15.451,KG,00AG0870
VE51SRP,ZFIN,CAJ,1,1,8413384524567,400,MM,153,MM,357,MM,MM,15,L,L,15.868,KG,KG,15.451,KG,00AG0870
VE51SRP,ZFIN,GAR,1,3,8413384523164,148,MM,130,MM,346,MM,MM,5,L,L,5.15,KG,KG,15.451,KG,00AG0870
VE51SRP,ZFIN,PAL,60,1,28413384524561,80,CM,120,CM,157,CM,CM,900,L,L,952.062,KG,KG,15.451,KG,00AG0870
VE51SRP,ZFIN,Y04,1,1,501995,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRP,ZFIN,Y35,1,1,501996,0,,0,,0,,,0,,,0,,,15.451,KG,00AG0870
VE51SRP,ZFIN,CAM,1680,1,,0,,0,,0,,,0,,,25235,KG,KG,15.451,KG,00AG0870
VE51SPN,ZFIN,ZPR,1,1,,0,,0,,0,,,0,,,0,,,15.615,KG,00AG0870203901
VE51SPN,ZFIN,ZOP,36,1,,0,,0,,0,,,0,,,0,,,15.615,KG,00AG0870203901
VE51SPN,ZFIN,ZPM,36,1,,0,,0,,0,,,0,,,0,,,15.615,KG,00AG0870203901
VE51SPN,ZFIN,MNT,9,1,,0,,0,,0,,,0,,,0,,,15.615,KG,00AG0870203901
VE51SPN,ZFIN,L,1,15,,0,,0,,0,,,0,,,0,,,15.615,KG,00AG0870203901
VE51SPN,ZFIN,ZCE,100,150,,0,,0,,0,,,0,,,0,,,15.615,KG,00AG0870203901
VE51SPN,ZFIN,ZPE,3600,100,,0,,0,,0,,,0,,,0,,,15.615,KG,00AG0870203901
VE51SPN,ZFIN,ZPA,3600,100,,0,,0,,0,,,0,,,0,,,15.615,KG,00AG0870203901
VE51SPN,ZFIN,CAM,1152,1,,0,,0,,0,,,0,,,25235,KG,KG,15.615,KG,00AG0870203901
VE51SPN,ZFIN,UN,1,3,8413384523164,180,MM,156,MM,322,MM,MM,5,L,L,5.207,KG,KG,15.615,KG,00AG0870203901
VE51SPN,ZFIN,CAJ,1,1,8413384524567,475,MM,330,MM,185,MM,MM,15,L,L,16.31,KG,KG,15.615,KG,00AG0870203901
