date,transport_id,location_id,client,item,item_description,amount,unit,converted_amount
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,ESCOLA D'HOSTALERIA D'OSONA,0AM1061,"REDONDO PEPINILLOS 300/400 2,5 KG.",1,un,1.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,ESCOLA D'HOSTALERIA D'OSONA,0AM5250,VERISOL RELLENA ANCHOA 200/220,9,un,9.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,ESCOLA D'HOSTALERIA D'OSONA,0AM5389,PROEZA MAIZ DULCE EN GRANO LATA 3KG,3,un,3.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,ESCOLA D'HOSTALERIA D'OSONA,0AM5394,PROEZA ATUN A.GIRASOL BOLSA 1KG,10,un,10.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,ESCOLA D'HOSTALERIA D'OSONA,0AM0081,REDONDO ALCAPARRAS 800 G.,1,un,1.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,ESCOLA D'HOSTALERIA D'OSONA,0AM0242,GALLO PAJARITAS (LAZOS) VEGETAL 3KG,2,un,2.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,ESCOLA D'HOSTALERIA D'OSONA,0AM4014,GOYA LECHE DE COCO 40CL,4,un,4.0
30/01/2026,11420334,JORGE ESCALANTE GUARERAY,ESCOLA D'HOSTALERIA D'OSONA,0AM4005,BORNIER MOSTAZA SABOR INTENSO DIJON 1KG,1,un,1.0
30/01/2026,11420379,JOSE VELEZ CASTRO,RACO DEL SEMI CACHOPO,ED13,ESTRELLA DAMM 1/3 RET. PP,3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,RACO DEL SEMI CACHOPO,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,RACO DEL SEMI CACHOPO,EC13,DAURA DAMM 1/3 RET.,1,caj,9.0
30/01/2026,11420379,JOSE VELEZ CASTRO,RACO DEL SEMI CACHOPO,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,caj,9.0
30/01/2026,11420379,JOSE VELEZ CASTRO,RACO DEL SEMI CACHOPO,TU13,TURIA 1/3 RET.,2,caj,18.0
30/01/2026,11420379,JOSE VELEZ CASTRO,RACO DEL SEMI CACHOPO,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,2,caj,18.0
30/01/2026,11420379,JOSE VELEZ CASTRO,BAR GRANADA,ED13,ESTRELLA DAMM 1/3 RET. PP,6,caj,54.0
30/01/2026,11420379,JOSE VELEZ CASTRO,BAR GRANADA,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,6,caj,54.0
30/01/2026,11420379,JOSE VELEZ CASTRO,BAR GRANADA,0LT0009,LETONA GRAN CREME 1L VR 12U,1,caj,9.0
30/01/2026,11420379,JOSE VELEZ CASTRO,BAR GRANADA,3ENV1281,C.C. LECHE LETONA (NUEVO),1,caj,9.0
30/01/2026,11420379,JOSE VELEZ CASTRO,BAR GRANADA,ED13,ESTRELLA DAMM 1/3 RET. PP,3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,BAR GRANADA,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,PALENTINO BAR,ED15LN,ESTRELLA DAMM 1/5 LN,3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,PALENTINO BAR,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,PALENTINO BAR,ED30,ESTRELLA DAMM BARRIL 30,1,brl,36.0
30/01/2026,11420379,JOSE VELEZ CASTRO,PALENTINO BAR,BRL30V,BARRIL INOX 30L. EURONORMA,1,brl,36.0
30/01/2026,11420379,JOSE VELEZ CASTRO,PALENTINO BAR,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,PALENTINO BAR,ED15LN,ESTRELLA DAMM 1/5 LN,2,caj,18.0
30/01/2026,11420379,JOSE VELEZ CASTRO,PALENTINO BAR,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,2,caj,18.0
30/01/2026,11420379,JOSE VELEZ CASTRO,PLAZA DONER KEBAB,ED13,ESTRELLA DAMM 1/3 RET. PP,5,caj,45.0
30/01/2026,11420379,JOSE VELEZ CASTRO,PLAZA DONER KEBAB,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,5,caj,45.0
30/01/2026,11420379,JOSE VELEZ CASTRO,PLAZA DONER KEBAB,0AM0292,"BISCUITS GALICIA MINI MAGD CHOCO 1,5KG",1,caj,9.0
30/01/2026,11420379,JOSE VELEZ CASTRO,MANEL BAR,ED13,ESTRELLA DAMM 1/3 RET. PP,6,caj,54.0
30/01/2026,11420379,JOSE VELEZ CASTRO,MANEL BAR,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,6,caj,54.0
30/01/2026,11420379,JOSE VELEZ CASTRO,MANEL BAR,ED30,ESTRELLA DAMM BARRIL 30,1,brl,36.0
30/01/2026,11420379,JOSE VELEZ CASTRO,MANEL BAR,BRL30V,BARRIL INOX 30L. EURONORMA,1,brl,36.0
30/01/2026,11420379,JOSE VELEZ CASTRO,MANEL BAR,UE902,COPA GRANDE ED,12,un,12.0
30/01/2026,11420379,JOSE VELEZ CASTRO,MANEL BAR,UE903,COPA PEQUEÑA ED,12,un,12.0
30/01/2026,11420379,JOSE VELEZ CASTRO,MANEL BAR,ED13,ESTRELLA DAMM 1/3 RET. PP,3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,MANEL BAR,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,ED13,ESTRELLA DAMM 1/3 RET. PP,5,caj,45.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,5,caj,45.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,ED15LN,ESTRELLA DAMM 1/5 LN,3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,ED30,ESTRELLA DAMM BARRIL 30,1,brl,36.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,BRL30V,BARRIL INOX 30L. EURONORMA,1,brl,36.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",1,caj,9.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,VE13SP,AGUA VERI 1/3 PET CAJA 35U. T.TH,1,caj,9.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",3,caj,27.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,0CF0080,XPLICIT NATURAL CREMOSO 1KG,1,un,1.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,0RF0079,/-COCA COLA ZERO LATA 33CL 24U,1,caj,9.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,0LM0790,"DPALILLO AGITADOR MADERA 110x6x1,5 500U",1,pak,18.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,0AM1290,XPLICIT AZUCAR 7GR  1000U,1,caj,9.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,0AM1634,XPLICIT EDULCORANTE 1G 150U,1,caj,9.0
30/01/2026,11420379,JOSE VELEZ CASTRO,EL GARBI BAR,0LI0002,LA GUITA MANZANILLA 75CL,3,bot,3.0
30/01/2026,11420379,JOSE VELEZ CASTRO,VENECIA BAR,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",2,caj,18.0
30/01/2026,11420379,JOSE VELEZ CASTRO,VENECIA BAR,0AM1167,MARINAS PATATAS OLIVA 47G  10U,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,TENTACION II,FD13,FREE DAMM 1/3 RET.,2,caj,18.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,TENTACION II,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,2,caj,18.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,TENTACION II,VO13,VOLL-DAMM 1/3 RET.,2,caj,18.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,TENTACION II,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,2,caj,18.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,EXTREMEÑOS BAR,ED30,ESTRELLA DAMM BARRIL 30,1,brl,36.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,EXTREMEÑOS BAR,BRL30V,BARRIL INOX 30L. EURONORMA,1,brl,36.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,EXTREMEÑOS BAR,ED13,ESTRELLA DAMM 1/3 RET. PP,4,caj,36.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,EXTREMEÑOS BAR,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,4,caj,36.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,EXTREMEÑOS BAR,ED15LN,ESTRELLA DAMM 1/5 LN,7,caj,63.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,EXTREMEÑOS BAR,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,7,caj,63.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,EXTREMEÑOS BAR,VO15LN,VOLL DAMM 1/5 LN,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,EXTREMEÑOS BAR,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,EXTREMEÑOS BAR,0CF0374,BONKA INTENSO NATURAL 1KG,6,un,6.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,FORN L'ANTIC,0LT0103,YOSOY AVENA BARISTA 1L BRIK 6U,2,caj,18.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,FORN L'ANTIC,0LT0528,LA LEVANTINA ALMENDRA ESP. HOST 1L 6U,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,FORN L'ANTIC,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",2,caj,18.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,ESTUDIANTIL BAR,ED13,ESTRELLA DAMM 1/3 RET. PP,6,caj,54.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,ESTUDIANTIL BAR,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,6,caj,54.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,ESTUDIANTIL BAR,ED15LN,ESTRELLA DAMM 1/5 LN,4,caj,36.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,ESTUDIANTIL BAR,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,4,caj,36.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,ESTUDIANTIL BAR,VO13,VOLL-DAMM 1/3 RET.,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,ESTUDIANTIL BAR,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,BO13,BOCK-DAMM 1/3 RET.,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,DL13,DAMM LEMON 1/3 RET,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,ED13,ESTRELLA DAMM 1/3 RET. PP,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,0AG0183,VICHY CATALAN GAS 30CL RET 24U,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,0LM2486,FILM TRANSPARENTE 30x250,1,un,1.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,0LM2496,PAPEL DE ALUMINIO 11 MICRES 29 x 200,1,un,1.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,0AM1192,FLAPER COCTEL FRUTOS SECO AHORRO BOLSA 1,1,un,1.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,BRACAFE,UE902,COPA GRANDE ED,6,un,6.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,ED13,ESTRELLA DAMM 1/3 RET. PP,6,caj,54.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,6,caj,54.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,ED15LN,ESTRELLA DAMM 1/5 LN,5,caj,45.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,5,caj,45.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,FDT13,FREE DAMM TOSTADA 1/3 RET. PP,2,caj,18.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,2,caj,18.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,VO13,VOLL-DAMM 1/3 RET.,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,TU30,TURIA BARRIL 30L.,1,brl,36.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,BRL30V,BARRIL INOX 30L. EURONORMA,1,brl,36.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,0AG0183,VICHY CATALAN GAS 30CL RET 24U,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,0AG0007,"FONT D.OR NATURAL 1,5L PET 12U",2,caj,18.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,0AG0004,FONT D.OR NATURAL 1/2 PET 24U,2,caj,18.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",3,caj,27.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,0CF0080,XPLICIT NATURAL CREMOSO 1KG,4,un,4.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,0RF0012,FUENTPINOS GASEOSA  500 PET 12U,2,caj,18.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,0RF0010,"LIMON GLAS 1,5 S/R 6U",1,caj,9.0
30/01/2026,11420332,JORDI PUIGDELLIRE GALERA,LA GAMBA BAR,0AM3864,FRIMASOL ACEITE GIRASOL 25L,1,un,1.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,La Sala,1PLV0756,XPLICIT VAJILLA CAFÉ TAZA/PLATO 12U,1,caj,9.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,1PLV0756,XPLICIT VAJILLA CAFÉ TAZA/PLATO 12U,1,caj,9.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,ED13,ESTRELLA DAMM 1/3 RET. PP,16,caj,144.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,16,caj,144.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,ED15LN,ESTRELLA DAMM 1/5 LN,3,caj,27.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,CJ15,CAJA DAMM+BOT.1/5RET VACIO EN P.PLAS.A13,3,caj,27.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,ED30,ESTRELLA DAMM BARRIL 30,1,brl,36.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,BRL30V,BARRIL INOX 30L. EURONORMA,1,brl,36.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",4,caj,36.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,VE13SP,AGUA VERI 1/3 PET CAJA 35U. T.TH,2,caj,18.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,0AG0183,VICHY CATALAN GAS 30CL RET 24U,1,caj,9.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,3ENV0236,C.C. AGUA 1/3 VICHY-FONT D'OR,1,caj,9.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",4,caj,36.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,0CF0080,XPLICIT NATURAL CREMOSO 1KG,2,un,2.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,0RF0019,/-COCA COLA LATA 33CL 24U,4,caj,36.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,0RF1697,/-COCA COLA IMPORT LATA33 24U,1,caj,9.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,NTL13LT6,NESTEA LIMON 1/3 LATA 4U-PACK 6U.,1,caj,9.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,0ZU0020,GRANINI MELOCOTON  20CL 24U,1,caj,9.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,0RF0010,"LIMON GLAS 1,5 S/R 6U",2,caj,18.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,BAR LA PETRA II,NTL13LT6,NESTEA LIMON 1/3 LATA 4U-PACK 6U.,2,caj,18.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,RINCON DEL DUENDE,ED13,ESTRELLA DAMM 1/3 RET. PP,3,caj,27.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,RINCON DEL DUENDE,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,3,caj,27.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,RINCON DEL DUENDE,0VE2634,FREIXENET ICE ROSE 75CL 1U,2,un,2.0
30/01/2026,11420331,ANTONIO DIAZ AGUILA,RINCON DEL DUENDE,0AM0037,CHOVI SALSA PICANTE TABASCO 60G,1,un,1.0
30/01/2026,11420330,CRISTIAN LORENTE AINAUD,SUSHI HE GRANOLLERS,ED13,ESTRELLA DAMM 1/3 RET. PP,5,caj,45.0
30/01/2026,11420330,CRISTIAN LORENTE AINAUD,SUSHI HE GRANOLLERS,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,5,caj,45.0
30/01/2026,11420330,CRISTIAN LORENTE AINAUD,SUSHI HE GRANOLLERS,VE12,AGUA VERI 1/2 VIDRIO RET.,30,caj,270.0
30/01/2026,11420330,CRISTIAN LORENTE AINAUD,SUSHI HE GRANOLLERS,CJ12V,CAJAS COMPLETAS 1/2 V,30,caj,270.0
30/01/2026,11420330,CRISTIAN LORENTE AINAUD,SUSHI HE GRANOLLERS,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",5,caj,45.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,PADELIN,ED13,ESTRELLA DAMM 1/3 RET. PP,4,caj,36.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,PADELIN,CJ13,CAJA DAMM+BOT.1/3RET VACIO EN P.PLAS.A13,4,caj,36.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,PADELIN,VE12SP,AGUA VERI 1/2 PET CAJA 24U. T.TH,1,caj,9.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,PADELIN,VE32SP,"AGUA VERI 1,5L PET CAJA 12U.",6,caj,54.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,VE32P6,"AGUA VERI 1,5L PET PACK 6U.",10,caj,90.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0AG0182,VICHY CATALAN SYSPACK GAS 30CL SR 24U,1,caj,9.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0LT0033,"LETONA GRAN CREME PET 1,5L PET 6U",6,caj,54.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0VE2133,MONTERIO TINTO ROSCA 75CL 6U,2,caj,18.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0RF0019,/-COCA COLA LATA 33CL 24U,2,caj,18.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0RF0079,/-COCA COLA ZERO LATA 33CL 24U,2,caj,18.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,NTL13LT6,NESTEA LIMON 1/3 LATA 4U-PACK 6U.,1,caj,9.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0LI0046,VETERANO BRANDY 1L,2,bot,2.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0LI0128,BAILEYS ORIGINAL CREMA WHISKY 70CL,2,bot,2.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0LI0185,RATAFIA RUSSET 70CL,2,bot,2.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0LI0719,LAGAR DO FRADE ORUJO DE HIERBAS PET 3L,1,bot,1.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0AM5386,"PROEZA TOMATE ENTERO ""PELADO"" 5KG",1,un,1.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0AM3929,VERIMAR ATUN RALLADO A.GIRASOL RO-800,3,un,3.0
30/01/2026,11420329,CRISTIAN LORENTE AINAUD,RESTAURANTE MERITXELL,0LM0099,BALNIC LAVAVAJILLAS MAQ. AGUAS DURAS 6KG,1,un,1.0
