cluster_id,cluster_size,members_json
14,30,"[""ALASKA BAR"", ""BAR AUDITORI TEATRE CALLDETENES"", ""BK VIC"", ""BOTING JUMPING PARK"", ""CAFETERIA CATALUNYA"", ""CAFETERIA PRADALS"", ""CLUB POCKET BIKE"", ""E.S VIC"", ""ELS BILLARS VIC"", ""FRANKFURT C'JOAN"", ""GARBI 1 CAFET. ALIMENTACIO"", ""GURBI"", ""HAPPYLANDIAPARK"", ""HOTEL BALMES"", ""INDOORWALL VIC"", ""INDUSTRIA 52"", ""JAUME GIL MARES"", ""L & C"", ""LA DISCO VIG"", ""LA TAGLIATELLA POLIGON"", ""MANLLEUET Cerveseria Restaurant"", ""MGA GP VIC"", ""PIZZERIA TOSCANA"", ""RESTAURANT UNTOK"", ""Restaurant el Punt"", ""SALA LA CABRA"", ""SARABÀ"", ""SUSHI YE"", ""TALLER MECANIC DAVID HOMS"", ""TASTIC BAR""]"
15,30,"[""AAVV SANTA ROSA"", ""AGROBOTIGA DE GALLECS"", ""BAR CAN JULI"", ""BAR ESTACIO RENFE"", ""BAR GABI"", ""BAR L'HORTA VERMELLA"", ""BAR RTE.ZEFIR BEGUDES"", ""BAR TENNIS VIC"", ""BAR UNIVIC"", ""CAL MARCEL-LI"", ""CANDELA"", ""CRISTIAN LORENTE AINAUD"", ""FRANKFURT VIC**"", ""IVAN QUESADA MARTINEZ"", ""IZAKAYA"", ""JOAQUIN QUINTANILLA CARICOL"", ""JUAN JOSE MIRANDA ABRIL"", ""JUAN MANUEL PEREZ SIERRA"", ""LA DIVINA"", ""MIRAMARGES  JOSEP ILLAMOLA VILALTA"", ""Molletveer"", ""PITAPES BERENGUER"", ""PITAPES CALDERI 3 BRANQUES VALLES ,"", ""RAMIREZ BERMUDEZ SERGIO"", ""RAUL MOLIST SANZ"", ""RESTAURANT NOU PAMPLONA"", ""RESTAURANT NOU PAMPLONA HIGIENE"", ""SUSANA CARRASCO PALACINO"", ""TOPIC"", ""VIC HOQUEI CLUB""]"
21,30,"[""80'S SPIRIT"", ""BAR AVENIDA PARETS"", ""BAR CERVECERIA JORDI"", ""BAR COCO"", ""BAR FRANKFURT INSBRUCK"", ""BAR FUTBOL LOURDES"", ""BAR LAS COLUMNAS"", ""BAR LOS EXTREMEÑOS"", ""BAR LOS GALLEGOS"", ""BONATAPA"", ""Bar 20 PA K"", ""Bar Restaurant Tres Roses"", ""CA LA LAURA PLAÇA"", ""CAF# PARIS"", ""CAFETERIA XURRERIA 20 JA"", ""CAN MARIO"", ""CLASSIC CLUB MONTMELO"", ""COREFO (BAR)"", ""EL BART"", ""EUROMED SA"", ""FRANKFURT SANTA MARTA"", ""JOSE PEREZ FERNANDEZ"", ""LA NORIA BAKERY"", ""LA PERGOLA"", ""La Tasca"", ""PASTISSERIA JOAN"", ""PIZZA VALLES"", ""SUPER NABILA PARETS"", ""VERMUTERIA Y TAPERIA CAMACHO"", ""VIKELS""]"
22,30,"[""AKI MISMO"", ""AVITU CAFE"", ""BAR BRICOLAJE DEPOT"", ""BAR CAFETERIA EL TAST"", ""BAR DEL CENTRO"", ""BAR EMPORDA"", ""BAR KEBAR"", ""BAR LA CANTONADA"", ""BAR LA ESQUINITA"", ""BAR NADAL"", ""BAR RESTAURANT LA PLAÇA"", ""BAR STARS"", ""CAN LITU'S"", ""CLUB CAL ARTIGUES"", ""CLUB PETANCA PARETS"", ""EL GRILLAT"", ""FRANKFURT LASA"", ""GRANJA BAR EL MASET"", ""GRANJA D'EN PEP"", ""GRANOLLERS COCINAS"", ""OH LA LA"", ""REST. EL PASO"", ""RESTAURANT BRUNCH"", ""RESTAURANT GUST D'ASIA"", ""RESTAURANTE SIBLINGS"", ""RIEGOS IBERIA REGABER"", ""RSTE. EL JARDI"", ""RSTE. LA GRUILLA"", ""Restaurant Molí de Vent"", ""TANCAMENTS""]"
23,30,"[""ANDALUS"", ""BAR ALEBRIJES"", ""BAR CHAMPANILLO"", ""BAR CUBO VENTALLO"", ""BAR DE L?ILLA"", ""BAR GRANJA VINZIA"", ""BAR LA MARTINA"", ""BAR VAGON 66"", ""CAL DIBUIXANT"", ""CAL JORDI BAR"", ""CAN BOADA RESTAURANT"", ""CASAL CULTURAL DE MOLLET"", ""ESTANCO MOLLET 3"", ""GIN BAR"", ""GIOVANNI GELATERIA"", ""HOPS"", ""ICE CUSTOM"", ""LA BODEGUETA DE MOLLET"", ""LA BONA SORT"", ""LA VERMUTERIA"", ""MANJARI"", ""NOU CUSTOM BAR CAFETERÍA"", ""PALENTINO BAR"", ""PEKIN RESTAURANT"", ""PENYA BARCELONISTA DE MOLLET"", ""PRATS PA (ILLA)"", ""RAJAS TACOS KEHBAD BAR CAFETERIA"", ""RESTAURANT JAPONES SUSHI AKI"", ""RTE JAPONES YOI AJI"", ""TOTEM BAR""]"
25,30,"[""412 COFFEE BEER"", ""BAR CASA PEDRO"", ""BAR GRANJA J.J."", ""BAR LA TIETA"", ""BAR PICASSO"", ""BAR RESTAURANT GAUDI"", ""BRASERIA LA TEJA"", ""CAFETERIA ANGELA"", ""CAFETERIA GRANJA LA CREPE"", ""CAFETERIA PASTELERIA CALDERON"", ""CAN PRAT RESTAURANT"", ""CANSALADERIA CAN MAGRET"", ""CASA MAURA"", ""CELLER DE CAN RODA"", ""COME BIEN RESTAURANTE"", ""CORBION"", ""EL RECO DEL PLA"", ""ESPAI BAR"", ""HERMANOS PADILLA"", ""HOTEL IBIS"", ""INMOBILIARIA BENSOR"", ""LA BONA TECA"", ""LA CUPULA BAR"", ""LA GRANJA"", ""LA ROSA BAR"", ""MARTU CITY"", ""PIZZERIA KEBAB MIL.LENARI"", ""SA I FRESC RESTAURANT"", ""TINO FRANKFURT"", ""XURRERIA CAFETERIA GARBER""]"
26,30,"[""A VOCADOS"", ""BAR LOCALET"", ""BAR MERINO"", ""BINGO CASINO"", ""BUSSINETS DE CUINA"", ""CA LA SETE"", ""CAFE SANT ROC"", ""CAL JIJONERO"", ""CASA FONDA EUROPA"", ""CAVANET"", ""CHARCUTERIA BENITA"", ""DATOTE AL BAGH"", ""Dania’s Bistro & Grill | Granollers"", ""EL REFUGI D´EN CUCH"", ""FRUTOS SECOS LA CLOSCA"", ""GRANJA GROC"", ""Granollers Indian Restaurante"", ""HOLLY'S"", ""KUMAR DONNER KEBAB PIZZERIA"", ""LA GRANJA ( DEGUSTACIO )"", ""LA ROCA VILLAGE RTE PASARELA (GVC)"", ""LA SEDA GRANOLLERS"", ""PALO SANTO COCKTAIL BAR"", ""PITAPES RESTAURANT GRANOLLES"", ""PURE COFFEE"", ""Platillos"", ""RSTE. EL CELLER DE CAN ROS"", ""SUSHI HE GRANOLLERS"", ""TRES TASSES"", ""TSURUTA RAMEN""]"
28,30,"[""BAR EL RECONET"", ""BAR GARCIA"", ""BAR LA RAMBLA"", ""BAR MILANA BRASERIA"", ""BAR NEVADA II"", ""BAR RESTAURANT PAVEPIC"", ""BAR RESTAURANT TROYA"", ""BAR RESTAURANTE MERLY´S"", ""BAR XARANA GRANOLLERS"", ""BAR ZHOU"", ""CAFE#L'ESTONA"", ""CAFETERIA FORN LA FLAIRE"", ""CAFETERIA LA CANTONADA"", ""CAL JOAN"", ""CASA CHUECOS"", ""DONNER POMPEU FABRA"", ""EL RACO DE LES MORERES"", ""FRUTAS Y VERDURAS NAONY'S"", ""KARMA´S"", ""LA BAGUETINA"", ""NUNA´S"", ""PADEL INDOOR GRANOLLERS"", ""PUNTO"", ""RESTAURANTE MELARA"", ""RSTE. PEIX D'OR"", ""SALA NAU B1"", ""SALON GRANOLLERS MACIA - CIRSA"", ""TROBADA"", ""UBOX 2015"", ""VINOUS""]"
34,30,"[""BAR CLEMEN'S"", ""BAR COPACABANA"", ""BAR EL VERMUTILLO"", ""BAR LA TABERNA"", ""BAR LA TACITA DE PLATA"", ""BAR LOS AMIGOS"", ""BAR PAREDES 5"", ""BAR PAREDES I"", ""BAR RESTAURANTE ITACA"", ""BAR RESTAURANTE MORDISQUITO"", ""BAR RUMY"", ""BAR TALGO"", ""BAR TAST GRANOLLERS"", ""BAR TIMANFAYA"", ""BAR TIMANFAYA II"", ""BK GRANOLLERS RONDA SUD"", ""CAL FORNER"", ""COROMINES Coffee & Bakery Brunch"", ""FORN DE PA R. RIUS"", ""FORN EL SAGA"", ""GRANBARA"", ""HG CERVECERIA"", ""PAREDES 4"", ""RECTORIA DE PALAU"", ""RESTAURANTE MINT"", ""RESTAURANTE SANT SADURNI"", ""SALA GRANOLLERS (TORRES) – CIRSA"", ""TEATRE AUDITORI (CATERING)"", ""XICS DE GRANOLLERS"", ""bar cafeteria yaki""]"
35,30,"[""ANATOLIA KEBAB"", ""BAR ATLANTIDA"", ""BAR BIG BAO"", ""BAR BOHEMI"", ""BAR CA LA LAURA"", ""BAR RESTAURANT GIRASOL"", ""CA LA MEI"", ""CAFE VIC"", ""CAFETERIA CIRCUIT D'OSONA"", ""CASINO DE VIC"", ""CELLER DE VIC"", ""DIVICNUS GASTROBAR"", ""EL 33"", ""EL CALIU RESTAURANT (VIC)"", ""EL PORTAL VIC"", ""IMPEVIC EDIFICI EL SUCRE"", ""INSOLIT"", ""L'ORIGEN"", ""LA GRANJA BAR"", ""LA TAVERNA D'EN NORTON"", ""LE PETIT KOALA"", ""PIZZERIA BRASERIA LA FLAMA"", ""PLANES BONES"", ""RACO DE L'IBERIC**"", ""RESTAURANT CASA MEXICO"", ""SAKURA II"", ""SNACK (VIC)"", ""Samsara Buffet lliure"", ""THE NEW ORLEANS"", ""Vilar Riba - Vic""]"
36,30,"[""' EL NOU' TOÓ RICO"", ""ARTICAT(FANTASIAS Y SONRISAS)"", ""BAR JALEY BAKERY"", ""BAR L,OREIG (HOTEL CAN CAMPA)"", ""BAR MAJOR 47"", ""BAR PLAZA GRAN"", ""BOKAO"", ""BRASERIA CAMPINS"", ""BRUNCH 4.12 MUSIC"", ""CAFETERIA ZURICH"", ""CAL TETE SANT FOST"", ""DELS CASTANYERS RESTAURANT"", ""FAMILIAR BAR RESTAURANTE"", ""FLECA LA FLORIDA"", ""FRANKFURT II VELEZ"", ""Forn La Miranda coffe & Beer"", ""GRANJA VINALLONGA"", ""LA BRUIXETA"", ""LA GIRALDA"", ""LOS CUESTAS"", ""MERCAT DEL CARME BAR"", ""MERENDERO CAN XEC"", ""OASIS"", ""PASTELERIA CAFETERIA ELENA"", ""RACÓ DE SANT FOST"", ""RESTAURANTE MARCOS"", ""SANLUQUEÑOS BAR"", ""SUPERMERCADO GASOLINERA DISCAU"", ""SUPERMERCAT MAJOR"", ""VALLES DONER KEBAB""]"
37,30,"[""BAR CAMP FUTBOL ST VICENÇ TORELLO"", ""BAR CASAL ST. VICEN#"", ""BAR EL CAFETO"", ""BAR MONTSERRAT"", ""BAR RACO JUVENIL"", ""BAR TORNEM-HI"", ""BAR TSE-TSE"", ""BAR XINO XANO"", ""BIG BAG"", ""CA L'ANGEL BAR"", ""CAFE LA PLAÇA"", ""CAFETERIA BUGATTI"", ""CASAL VILASECA"", ""CASANOVA DEL CASTELL"", ""DESIG"", ""EL BISTROT DEL FIRAL"", ""EL CASTELL DE BESORA"", ""EL GAT BAR"", ""ELS ENLLETATS"", ""FORN PUJADES"", ""LA PEDREGADA"", ""LA TAVERNA"", ""Latitud 42"", ""MARINA BAR"", ""PADEL INDOOR TORELLO"", ""PUERTO DULCE"", ""RESTAURANT AL GRA"", ""RESTAURANT CAL PAGES"", ""RESTAURANT LA BISAURA"", ""SPORT BAR (SANT QUIRZE)""]"
39,30,"[""AMBIGU"", ""ANDRADES JIMENEZ MANUEL"", ""ANTONIO DIAZ AGUILA"", ""BAR 28"", ""BAR CAFETERIA RICOMA"", ""BAR ISLA CRISTINA"", ""BAR LA CUCA"", ""BAR LOS HERMANOS."", ""BAR SALON DEPORTIVO"", ""Bar Baudilio"", ""Bar Tapas Bike"", ""CAFE BAR LA FONT"", ""CAN SALA"", ""CARLOS JUNCA SÁNCHEZ"", ""CHURROS CRUZ"", ""DISTRIDAM"", ""EL MORDISKITO MONTORNES"", ""GRANJA SANTIAGO"", ""JJ BAR"", ""JOSE MARIA SORIA JURADO"", ""JOSE QUILES CARRERAS"", ""LA PLAÇA BAR"", ""LLUIS CORS BOIX"", ""MIREIA ESTEVEZ CABANILLAS"", ""MONTSERRAT PEREZ HERRERA"", ""NOU HOLIDAYS"", ""RSTE. LA CABAÑA"", ""RTE. CA LA POLI"", ""SANTOS QUILES HORTAL"", ""WOOD & COFFEE""]"
49,30,"[""(RESTAURANT) SPORT & HEALTH OXIGEN"", ""ALORA"", ""BAR ALASKA"", ""BAR BOTE"", ""BAR CAMPO FUTBOL MONTMELO"", ""BAR MARIA"", ""BAR OLIMPIC MOLLET"", ""BODEGA CAMELOT"", ""Bar Els 4 Vents"", ""Bar Restaurante L'Arpa"", ""CASA TOI"", ""CRISTINA BAR"", ""EL LORO CHARLY RESTAURANT"", ""FLECA BRETCHA (HOSPITAL)"", ""FORN L'ANTIC"", ""FORN VALERO"", ""HOTEL CIUTAT DE GRANOLLERS"", ""LES TRES COPES RESTAURANT"", ""MONTSENY GRANJA BAR"", ""NOU TOÓ RICO (MONTMELÓ)"", ""PADEL SPORTS & HEALTH OXIGEN"", ""PEPE.COM"", ""RESTAURANT 69KDIRES"", ""RESTAURANTE BUENA SUERTE"", ""RESTAURANTE RAMASSA"", ""RESTAURANTE XAP"", ""RUSTIK GASTRO BAR"", ""TAPETES BAR"", ""TENTACION BAR (2007)"", ""Venecia""]"
50,30,"[""B&B"", ""BAR FUSINA"", ""BAR LAURA"", ""BAR REST EL TAST"", ""BOTANIC & FRUITS, S.L."", ""Bar La Parada c/ bisbe morgades"", ""CAFE PASTISSERIA BRUGUER"", ""CAFE SAMSARA"", ""CAFETERIA ATREZZO"", ""CAFETERIA SANT JORDI"", ""CAL GAT CAFETERIA RESTAURANT"", ""CARBO"", ""CASA TEVA"", ""CINEMES SUCRE"", ""CITY ARMS"", ""COFFEE & BAKERY CAN PAU"", ""EL MOLI"", ""El Celler d'en Miquel"", ""FORN CATALUNYA"", ""GRANJA XOCOLATERIA''LA CLAU"", ""L'INDIÀ CAFETERIA"", ""LA BONA TAULA"", ""LA CAFE"", ""LA CIUTAT DELS SANTS"", ""LA MANDUCA"", ""PUNT DONER KEBAB"", ""RESTAURANT EL XIC"", ""TAJ MAHAL"", ""TRESONA XXI"", ""Vacanal Jubany - Hamburgueseria""]"
58,30,"[""BAR  EL NOU TUNEL"", ""BAR CAFETERIA EL DOMI"", ""BAR CAFETERIA KALESSY"", ""BAR EL VERMUTILLO II"", ""BAR LA CANTINA"", ""BAR LAMIA"", ""BAR LAS TAPAS"", ""BAR RESTAURANT CAN CHEN"", ""BAR RESTAURANTE CAL DAVID"", ""BAR TRIANA"", ""BAR VITA"", ""BAR YUMEI II"", ""CAFE LEO"", ""CAN BIN RESTAURANTE"", ""EL RACO DE LA VIKI"", ""FLECA P.BRETCHA (CAN BASSA)"", ""FORN DE PA MARGARIDA"", ""FORN LA CARMEN"", ""FRANKFURT LA PLAÇA"", ""GRANA BAR BY DUMAS"", ""GRANJA LA NOU"", ""HOTEL ATENEA VALLES"", ""IMPERIAL"", ""INDOORWALL GRANOLLERS"", ""RESTAURANTE ANATOLIA"", ""RESTAURANTE EL FOGON"", ""RESTAURANTE VII"", ""RTE AYOPAYA"", ""TAVERNA TATXIN TATXIN"", ""TEATRE AUDITORI DE GRANOLLERS-BAR""]"
60,30,"[""755_SUBLIME"", ""ALAIA COFFE BAR"", ""BACROM"", ""BAR ACROPOLIS"", ""BAR ALMANSA"", ""BAR CA LA XIANG"", ""BAR EL DOFI"", ""BAR FRAYMAN"", ""BAR GALICIA"", ""BAR LOS ARCES"", ""BAR NOMAD"", ""BAR RESTAURANTE FRETES"", ""BAR SAGITARIO"", ""BOCA JUNIOR"", ""BROTHERS"", ""CAFETERIA ESCLAT"", ""CAN RAJOLER"", ""CTRO.ELS TIL.LERS"", ""CUENCA BAR"", ""EL JARDI DE GALLECS"", ""ENERGY BAR  & RESTAURANTE"", ""EUREST COLECTIVIDADES (MERCK)"", ""GRACIELA PANADERIA-CAFETERIA"", ""LA FLECA D'EN GREC"", ""LLEVANTPARK SL"", ""MAFALDA"", ""PETIT CAFE"", ""RACO DEL SEMI CACHOPO"", ""RESTAURANTE EUROPEO CONGOST"", ""SABOR MANABITA (COSTAVERDE)""]"
62,30,"[""BAR CAFETERIA LOS DOS 961"", ""BAR CAN CERVANTES"", ""BAR EPORA 2"", ""BAR INDELALBA"", ""BAR JALEY (PARETS)"", ""BAR JUAQUIN"", ""BAR LOS CAZADORES (GRANOLLERS)"", ""BAR RESTAURANTE A PICOS"", ""BAR SAN ANTONIO"", ""BONA TAPA"", ""CAFETERIA JALEY"", ""CAFETERIA LUISIANA"", ""CAFETERIA PANADERIA + QUE PA"", ""CAMPO FUTBOL PARETS"", ""CAN MOREU"", ""CELLER DEL FERRER"", ""COFFEE YAGUNA"", ""FORNO DI CAFFE VIVALDI"", ""FRANKFURT JAVIS II"", ""GRUP TESI"", ""LA PLANCHA ÑAM ÑAM"", ""LAS PISTAS BAR"", ""MUSIC CLUB RADIKAL"", ""NETSTAL IBERICA SA"", ""PAPUA COLL DE LA MANYA"", ""PUB EVENING"", ""RESTAURANTE EL SOL"", ""RESTAURANTE PALOU"", ""ROCA UMBERT FABRICA DELS ARTS"", ""TAPAS KEBAB""]"
65,30,"[""AUTORACING MOLLET, S.L."", ""BAR BRANNINGAM"", ""BAR BY DUNAS MOLLET"", ""BAR EBANO"", ""BAR MEJIAS"", ""BAR NIKOL"", ""BAR PHILADELPHIA"", ""BAR PRUNERES"", ""BAR RESTAURANTE NEORIS"", ""BAR TABERNA PARAISO RIM"", ""CA LA MARI ROSTISERIA"", ""CAFETERIA UMAMI"", ""CAFÉ PLAÇA"", ""Confidencial"", ""DISTRIBUIDORA DE PRODUCTOS NATURALE"", ""EL REFUGIO"", ""EUROPA BAR"", ""GRANJA ESTEL"", ""JULIS BAR"", ""LA GOLOSA BAR"", ""LA PERA BAR"", ""LA PRUNA"", ""LA TAVERNA DE CAN PANTIQUET"", ""MARFA BAR"", ""MARIETA RESTAURANT"", ""ORRIOLS FORN DE PA"", ""TALLERS CAN MULA"", ""TASTY DONNER KEBAB"", ""WONCA BURGUER"", ""ZAMORA BAR""]"
