Deudor,Organización ventas,Canal distribución,Sector,Día semana,Turno,Nombre 1,Descripción,Descripción,Descripción,Horario inicia a,Horario termina a,Cierre Si/No
9100041442,235,1,8,1,1,BAR ROMERO,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100041442,235,1,8,2,1,BAR ROMERO,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,12:30:00,
9100041442,235,1,8,3,1,BAR ROMERO,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,12:30:00,
9100041442,235,1,8,4,1,BAR ROMERO,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,12:30:00,
9100041442,235,1,8,5,1,BAR ROMERO,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,12:30:00,
9100041688,235,1,8,1,1,RESTAURANTE HONG KONG,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100041688,235,1,8,2,1,RESTAURANTE HONG KONG,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100041688,235,1,8,3,1,RESTAURANTE HONG KONG,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100041688,235,1,8,4,1,RESTAURANTE HONG KONG,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100041688,235,1,8,5,1,RESTAURANTE HONG KONG,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100041762,235,1,8,1,1,RSTE. EL JARDI,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100042070,235,1,8,1,1,ROSTISERIA CAN DANIEL,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100042070,235,1,8,2,1,ROSTISERIA CAN DANIEL,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100042070,235,1,8,3,1,ROSTISERIA CAN DANIEL,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100042414,235,1,8,1,1,CHACHI'S BAR,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100042500,235,1,8,1,1,CAFE SANT ROC,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,11:00:00,
9100042500,235,1,8,2,1,CAFE SANT ROC,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,11:00:00,
9100042500,235,1,8,3,1,CAFE SANT ROC,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,11:00:00,
9100042500,235,1,8,4,1,CAFE SANT ROC,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,11:00:00,
9100042500,235,1,8,5,1,CAFE SANT ROC,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,11:00:00,
9100042630,235,1,8,1,1,JAVIS 3,DDI MOLLET,Canal distrib.MARCA,DDI,12:00:00,12:30:00,
9100042630,235,1,8,2,1,JAVIS 3,DDI MOLLET,Canal distrib.MARCA,DDI,12:00:00,12:30:00,
9100042630,235,1,8,3,1,JAVIS 3,DDI MOLLET,Canal distrib.MARCA,DDI,12:00:00,12:30:00,
9100042630,235,1,8,4,1,JAVIS 3,DDI MOLLET,Canal distrib.MARCA,DDI,12:00:00,12:30:00,
9100042630,235,1,8,5,1,JAVIS 3,DDI MOLLET,Canal distrib.MARCA,DDI,12:00:00,12:30:00,
9100042846,235,1,8,1,1,GRANJA D'EN PEP,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:30:00,
9100042846,235,1,8,2,1,GRANJA D'EN PEP,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:30:00,
9100042846,235,1,8,3,1,GRANJA D'EN PEP,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:30:00,
9100042846,235,1,8,4,1,GRANJA D'EN PEP,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:30:00,
9100042846,235,1,8,5,1,GRANJA D'EN PEP,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:30:00,
9100042930,235,1,8,1,1,RESTAURANTE XAP,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100042930,235,1,8,2,1,RESTAURANTE XAP,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100042964,235,1,8,1,1,HOTEL CIUTAT DE GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,11:00:00,
9100042964,235,1,8,2,1,HOTEL CIUTAT DE GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,11:00:00,
9100042964,235,1,8,3,1,HOTEL CIUTAT DE GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,11:00:00,
9100042964,235,1,8,4,1,HOTEL CIUTAT DE GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,11:00:00,
9100042964,235,1,8,5,1,HOTEL CIUTAT DE GRANOLLERS,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,11:00:00,
9100042975,235,1,8,1,1,BAR CLEMEN'S,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,11:30:00,
9100042975,235,1,8,2,1,BAR CLEMEN'S,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,11:30:00,
9100042975,235,1,8,3,1,BAR CLEMEN'S,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,11:30:00,
9100042975,235,1,8,4,1,BAR CLEMEN'S,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,11:30:00,
9100042975,235,1,8,5,1,BAR CLEMEN'S,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,11:30:00,
9100043035,235,1,8,1,1,aa vv palou nord can bassa,DDI MOLLET,Canal distrib.MARCA,DDI,07:30:00,13:00:00,
9100043035,235,1,8,2,1,aa vv palou nord can bassa,DDI MOLLET,Canal distrib.MARCA,DDI,07:30:00,13:00:00,
9100043035,235,1,8,3,1,aa vv palou nord can bassa,DDI MOLLET,Canal distrib.MARCA,DDI,07:30:00,13:00:00,
9100043035,235,1,8,4,1,aa vv palou nord can bassa,DDI MOLLET,Canal distrib.MARCA,DDI,07:30:00,13:00:00,
9100043035,235,1,8,5,1,aa vv palou nord can bassa,DDI MOLLET,Canal distrib.MARCA,DDI,07:30:00,13:00:00,
9100043107,235,1,8,1,1,RESTAURANTE LOS ANGELES,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,11:00:00,
9100043107,235,1,8,2,1,RESTAURANTE LOS ANGELES,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,11:00:00,
9100043107,235,1,8,3,1,RESTAURANTE LOS ANGELES,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,11:00:00,
9100043107,235,1,8,4,1,RESTAURANTE LOS ANGELES,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,11:00:00,
9100043107,235,1,8,5,1,RESTAURANTE LOS ANGELES,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,11:00:00,
9100043490,235,1,8,1,1,BAR CENTRAL,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,13:00:00,
9100043490,235,1,8,2,1,BAR CENTRAL,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100043490,235,1,8,3,1,BAR CENTRAL,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,13:00:00,
9100043490,235,1,8,4,1,BAR CENTRAL,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,13:00:00,
9100043490,235,1,8,5,1,BAR CENTRAL,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,13:00:00,
9100043853,235,1,8,1,1,BINGO CASINO,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,12:00:00,
9100043853,235,1,8,2,1,BINGO CASINO,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,11:00:00,
9100043853,235,1,8,3,1,BINGO CASINO,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,12:00:00,
9100043853,235,1,8,4,1,BINGO CASINO,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,12:00:00,
9100043853,235,1,8,5,1,BINGO CASINO,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,12:00:00,
9100044243,235,1,8,1,1,PUNTO,DDI MOLLET,Canal distrib.MARCA,DDI,10:00:00,14:00:00,
9100044243,235,1,8,2,1,PUNTO,DDI MOLLET,Canal distrib.MARCA,DDI,10:00:00,14:00:00,
9100044243,235,1,8,3,1,PUNTO,DDI MOLLET,Canal distrib.MARCA,DDI,10:00:00,14:00:00,
9100044243,235,1,8,4,1,PUNTO,DDI MOLLET,Canal distrib.MARCA,DDI,10:00:00,14:00:00,
9100044243,235,1,8,5,1,PUNTO,DDI MOLLET,Canal distrib.MARCA,DDI,10:00:00,14:00:00,
9100044479,235,1,8,3,1,RSTE. EL PASO,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100054637,235,1,8,1,1,NOU CUSTOM BAR CAFETERIA (GRUPO CUS,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,12:00:00,
9100054637,235,1,8,2,1,NOU CUSTOM BAR CAFETERIA (GRUPO CUS,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,12:00:00,
9100054637,235,1,8,3,1,NOU CUSTOM BAR CAFETERIA (GRUPO CUS,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,12:00:00,
9100054637,235,1,8,4,1,NOU CUSTOM BAR CAFETERIA (GRUPO CUS,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,12:00:00,
9100054637,235,1,8,5,1,NOU CUSTOM BAR CAFETERIA (GRUPO CUS,DDI MOLLET,Canal distrib.MARCA,DDI,09:00:00,12:00:00,
9100054705,235,1,8,1,1,EL RACO DE LES BRASES,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100054738,235,1,8,1,1,HOLA K TAL BAR,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100054750,235,1,8,1,1,LOS CUESTA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,08:30:00,
9100054750,235,1,8,2,1,LOS CUESTA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:01,X
9100054750,235,1,8,3,1,LOS CUESTA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,08:30:00,
9100054750,235,1,8,4,1,LOS CUESTA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,08:30:00,
9100054750,235,1,8,5,1,LOS CUESTA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,08:30:00,
9100054935,235,1,8,1,2,PENYA BARCELONISTA DE MOLLET,DDI MOLLET,Canal distrib.MARCA,DDI,17:00:00,21:00:00,
9100054935,235,1,8,2,2,PENYA BARCELONISTA DE MOLLET,DDI MOLLET,Canal distrib.MARCA,DDI,17:00:00,21:00:00,
9100054935,235,1,8,3,2,PENYA BARCELONISTA DE MOLLET,DDI MOLLET,Canal distrib.MARCA,DDI,17:00:00,21:00:00,
9100054935,235,1,8,4,2,PENYA BARCELONISTA DE MOLLET,DDI MOLLET,Canal distrib.MARCA,DDI,17:00:00,21:00:00,
9100054935,235,1,8,5,2,PENYA BARCELONISTA DE MOLLET,DDI MOLLET,Canal distrib.MARCA,DDI,17:00:00,21:00:00,
9100055035,235,1,8,1,1,RTE. CA LA POLI,DDI MOLLET,Canal distrib.MARCA,DDI,08:30:00,13:00:00,
9100055035,235,1,8,2,1,RTE. CA LA POLI,DDI MOLLET,Canal distrib.MARCA,DDI,08:30:00,13:00:00,
9100055035,235,1,8,3,1,RTE. CA LA POLI,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100055035,235,1,8,4,1,RTE. CA LA POLI,DDI MOLLET,Canal distrib.MARCA,DDI,08:30:00,13:00:00,
9100055035,235,1,8,5,1,RTE. CA LA POLI,DDI MOLLET,Canal distrib.MARCA,DDI,08:30:00,13:00:00,
9100055101,235,1,8,1,2,U.D. MOLLETENSE,DDI MOLLET,Canal distrib.MARCA,DDI,17:00:00,18:00:00,
9100055101,235,1,8,2,2,U.D. MOLLETENSE,DDI MOLLET,Canal distrib.MARCA,DDI,17:00:00,18:00:00,
9100055101,235,1,8,3,2,U.D. MOLLETENSE,DDI MOLLET,Canal distrib.MARCA,DDI,17:00:00,18:00:00,
9100055101,235,1,8,4,2,U.D. MOLLETENSE,DDI MOLLET,Canal distrib.MARCA,DDI,17:00:00,18:00:00,
9100055101,235,1,8,5,2,U.D. MOLLETENSE,DDI MOLLET,Canal distrib.MARCA,DDI,17:00:00,18:00:00,
9100055108,235,1,8,1,1,LA TASCA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,12:30:00,15:00:00,
9100055108,235,1,8,2,1,LA TASCA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,12:30:00,15:00:00,
9100055108,235,1,8,3,1,LA TASCA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,12:30:00,15:00:00,
9100055108,235,1,8,4,1,LA TASCA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,12:30:00,15:00:00,
9100055108,235,1,8,5,1,LA TASCA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,12:30:00,15:00:00,
9100055150,235,1,8,1,1,"AUTORACING MOLLET, S.L.",DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100055150,235,1,8,2,1,"AUTORACING MOLLET, S.L.",DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100055150,235,1,8,3,1,"AUTORACING MOLLET, S.L.",DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100055150,235,1,8,4,1,"AUTORACING MOLLET, S.L.",DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100055150,235,1,8,5,1,"AUTORACING MOLLET, S.L.",DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100055201,235,1,8,1,1,COSTA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,08:30:00,17:00:00,
9100055201,235,1,8,2,1,COSTA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,08:30:00,17:00:00,
9100055201,235,1,8,3,1,COSTA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,08:30:00,17:00:00,
9100055201,235,1,8,4,1,COSTA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,08:30:00,17:00:00,
9100055201,235,1,8,5,1,COSTA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,08:30:00,17:00:00,
9100055221,235,1,8,1,1,CA LA MARI ROSTISERIA,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100055221,235,1,8,2,1,CA LA MARI ROSTISERIA,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,09:00:00,
9100055221,235,1,8,3,1,CA LA MARI ROSTISERIA,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,09:00:00,
9100055221,235,1,8,4,1,CA LA MARI ROSTISERIA,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,09:00:00,
9100055221,235,1,8,5,1,CA LA MARI ROSTISERIA,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,09:00:00,
9100055331,235,1,8,1,1,SA I FRESC RESTAURANT,DDI MOLLET,Canal distrib.MARCA,DDI,10:00:00,13:00:00,
9100055331,235,1,8,2,1,SA I FRESC RESTAURANT,DDI MOLLET,Canal distrib.MARCA,DDI,10:00:00,13:00:00,
9100055331,235,1,8,3,1,SA I FRESC RESTAURANT,DDI MOLLET,Canal distrib.MARCA,DDI,10:00:00,13:00:00,
9100055331,235,1,8,4,1,SA I FRESC RESTAURANT,DDI MOLLET,Canal distrib.MARCA,DDI,10:00:00,13:00:00,
9100055331,235,1,8,5,1,SA I FRESC RESTAURANT,DDI MOLLET,Canal distrib.MARCA,DDI,10:00:00,13:00:00,
9100055508,235,1,8,1,1,XURRERIA,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,08:30:00,
9100055508,235,1,8,2,1,XURRERIA,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,08:30:00,
9100055508,235,1,8,3,1,XURRERIA,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100055508,235,1,8,4,1,XURRERIA,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,08:30:00,
9100055508,235,1,8,5,1,XURRERIA,DDI MOLLET,Canal distrib.MARCA,DDI,07:00:00,08:30:00,
9100055620,235,1,8,3,1,MARFA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100056059,235,1,8,1,1,PITAPES RESTAURANT GRANOLLES,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100056059,235,1,8,2,1,PITAPES RESTAURANT GRANOLLES,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100056059,235,1,8,3,1,PITAPES RESTAURANT GRANOLLES,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100056059,235,1,8,4,1,PITAPES RESTAURANT GRANOLLES,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100056059,235,1,8,5,1,PITAPES RESTAURANT GRANOLLES,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,16:00:00,
9100056125,235,1,8,1,1,EVA RESTAURANTE,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100056125,235,1,8,2,1,EVA RESTAURANTE,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100056125,235,1,8,3,1,EVA RESTAURANTE,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100056125,235,1,8,4,1,EVA RESTAURANTE,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100056125,235,1,8,5,1,EVA RESTAURANTE,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100056293,235,1,8,1,1,PEKIN RESTAURANT,DDI MOLLET,Canal distrib.MARCA,DDI,13:00:00,16:00:00,
9100056293,235,1,8,2,1,PEKIN RESTAURANT,DDI MOLLET,Canal distrib.MARCA,DDI,13:00:00,16:00:00,
9100056293,235,1,8,3,1,PEKIN RESTAURANT,DDI MOLLET,Canal distrib.MARCA,DDI,13:00:00,16:00:00,
9100056293,235,1,8,4,1,PEKIN RESTAURANT,DDI MOLLET,Canal distrib.MARCA,DDI,13:00:00,16:00:00,
9100056293,235,1,8,5,1,PEKIN RESTAURANT,DDI MOLLET,Canal distrib.MARCA,DDI,13:00:00,16:00:00,
9100069265,235,1,8,1,1,KANSAS,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,11:30:00,
9100069265,235,1,8,2,1,KANSAS,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,11:30:00,
9100069265,235,1,8,3,1,KANSAS,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,11:30:00,
9100069265,235,1,8,4,1,KANSAS,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,11:30:00,
9100069265,235,1,8,5,1,KANSAS,DDI MOLLET,Canal distrib.MARCA,DDI,11:00:00,11:30:00,
9100075744,235,1,8,1,1,RESTAURANTE SANT SADURNI,DDI MOLLET,Canal distrib.MARCA,DDI,00:00:00,00:00:00,X
9100076545,235,1,8,1,1,CAFETERIA PANADERIA + QUE PA,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100076545,235,1,8,2,1,CAFETERIA PANADERIA + QUE PA,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100076545,235,1,8,3,1,CAFETERIA PANADERIA + QUE PA,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100076545,235,1,8,4,1,CAFETERIA PANADERIA + QUE PA,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100076545,235,1,8,5,1,CAFETERIA PANADERIA + QUE PA,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,13:00:00,
9100076613,235,1,8,1,1,GRANJA GROC,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,10:00:00,
9100076613,235,1,8,1,2,GRANJA GROC,DDI MOLLET,Canal distrib.MARCA,DDI,13:00:00,15:00:00,
9100076613,235,1,8,2,1,GRANJA GROC,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,10:00:00,
9100076613,235,1,8,2,2,GRANJA GROC,DDI MOLLET,Canal distrib.MARCA,DDI,13:00:00,15:00:00,
9100076613,235,1,8,3,1,GRANJA GROC,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,10:00:00,
9100076613,235,1,8,3,2,GRANJA GROC,DDI MOLLET,Canal distrib.MARCA,DDI,13:00:00,15:00:00,
9100076613,235,1,8,4,1,GRANJA GROC,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,10:00:00,
9100076613,235,1,8,4,2,GRANJA GROC,DDI MOLLET,Canal distrib.MARCA,DDI,13:00:00,15:00:00,
9100076613,235,1,8,5,1,GRANJA GROC,DDI MOLLET,Canal distrib.MARCA,DDI,08:00:00,10:00:00,
9100076613,235,1,8,5,2,GRANJA GROC,DDI MOLLET,Canal distrib.MARCA,DDI,13:00:00,15:00:00,
9100087801,235,1,8,1,1,CASA CHUECOS,DDI MOLLET,Canal distrib.MARCA,DDI,11:30:00,14:00:00,
9100087801,235,1,8,2,1,CASA CHUECOS,DDI MOLLET,Canal distrib.MARCA,DDI,11:30:00,14:00:00,
9100087801,235,1,8,3,1,CASA CHUECOS,DDI MOLLET,Canal distrib.MARCA,DDI,12:30:00,14:00:00,
9100087801,235,1,8,4,1,CASA CHUECOS,DDI MOLLET,Canal distrib.MARCA,DDI,11:30:00,14:00:00,
9100087801,235,1,8,5,1,CASA CHUECOS,DDI MOLLET,Canal distrib.MARCA,DDI,11:30:00,14:00:00,
9100108910,235,1,8,1,1,PACK CATALUNYA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,10:30:00,16:00:00,
9100108910,235,1,8,2,1,PACK CATALUNYA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,10:30:00,16:00:00,
9100108910,235,1,8,3,1,PACK CATALUNYA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,10:30:00,16:00:00,
9100108910,235,1,8,4,1,PACK CATALUNYA BAR,DDI MOLLET,Canal distrib.MARCA,DDI,10:30:00,16:00:00,
